Date,Open,High,Low,Close,Adj Close,Volume
2017-04-28,49.000000,57.000000,49.000000,56.200001,53.838333,179200
2017-05-02,56.000000,61.375000,53.250000,53.400002,51.155994,284800
2017-05-03,55.000000,55.000000,51.474998,51.875000,49.695080,220800
2017-05-04,52.775002,54.250000,52.500000,53.075001,50.844650,89600
2017-05-05,54.099998,54.474998,53.500000,53.549999,51.299690,134400
2017-05-08,55.000000,55.049999,54.200001,54.375000,52.090023,32000
2017-05-09,58.500000,58.500000,54.500000,54.750000,52.449268,60800
2017-05-10,57.250000,57.325001,53.000000,53.150002,50.916500,51200
2017-05-11,54.250000,54.250000,51.500000,51.525002,49.359791,70400
2017-05-12,51.099998,51.500000,50.750000,50.825001,48.689201,38400
2017-05-15,51.250000,51.500000,50.799999,50.950001,48.808949,41600
2017-05-16,50.599998,50.650002,48.750000,48.750000,46.701397,38400
2017-05-17,52.000000,52.000000,46.250000,46.400002,44.450153,38400
2017-05-18,48.000000,48.000000,44.424999,44.950001,43.061089,60800
2017-05-19,45.500000,47.000000,45.250000,45.250000,43.348480,25600
2017-05-22,49.500000,49.500000,47.150002,47.250000,45.264435,16000
2017-05-23,50.500000,50.599998,46.750000,46.875000,44.905190,54400
2017-05-24,48.750000,48.750000,46.250000,46.250000,44.306458,25600
2017-05-25,47.250000,47.250000,45.525002,45.525002,43.611923,19200
2017-05-26,47.250000,47.250000,45.000000,45.000000,43.108986,16000
2017-05-29,47.950001,47.950001,46.400002,46.400002,44.450153,12800
2017-05-30,47.349998,47.349998,45.000000,45.000000,43.108986,12800
2017-05-31,46.750000,46.750000,44.950001,45.250000,43.348480,22400
2017-06-01,46.900002,46.900002,44.974998,44.974998,43.085033,16000
2017-06-02,46.250000,46.500000,45.500000,45.750000,43.827469,22400
2017-06-05,48.750000,48.750000,46.549999,46.549999,44.593849,19200
2017-06-06,45.700001,48.000000,45.700001,47.500000,45.503925,19200
2017-06-07,47.500000,51.750000,47.500000,49.500000,47.419884,131200
2017-06-08,51.000000,55.400002,51.000000,54.500000,52.209770,80000
2017-06-09,56.500000,56.625000,53.450001,53.900002,51.634987,35200
2017-06-12,55.250000,55.250000,53.049999,53.049999,50.820702,22400
2017-06-13,57.500000,57.950001,57.500000,57.950001,55.514793,9600
2017-06-14,56.750000,56.799999,56.750000,56.775002,54.389172,9600
2017-06-15,60.250000,60.299999,60.250000,60.275002,57.742088,9600
2017-06-16,58.000000,58.000000,54.400002,54.450001,52.161869,22400
2017-06-19,53.700001,54.424999,53.700001,54.349998,52.066074,12800
2017-06-20,58.250000,58.250000,55.000000,55.000000,52.688759,16000
2017-06-21,55.400002,55.450001,52.000000,52.325001,50.126171,25600
2017-06-22,55.049999,55.125000,54.250000,54.250000,51.970276,19200
2017-06-23,53.875000,54.250000,53.650002,54.250000,51.970276,19200
2017-06-27,55.000000,55.000000,53.000000,53.000000,50.772800,19200
2017-06-28,54.500000,54.674999,51.950001,51.974998,49.790878,19200
2017-06-29,54.625000,54.650002,54.625000,54.625000,52.329517,9600
2017-06-30,57.000000,57.000000,52.000000,52.125000,49.934574,140800
2017-07-03,53.500000,53.599998,52.000000,52.000000,49.814823,22400
2017-07-04,53.500000,53.549999,51.900002,51.900002,49.719032,92800
2017-07-05,54.750000,54.750000,52.000000,52.000000,49.814823,16000
2017-07-06,53.750000,53.750000,51.900002,51.900002,49.719032,28800
2017-07-07,55.000000,55.000000,53.000000,53.000000,50.772800,9600
2017-07-10,54.125000,54.125000,53.924999,53.924999,51.658932,9600
2017-07-11,53.500000,53.599998,51.849998,51.849998,49.671127,32000
2017-07-12,52.500000,52.500000,51.500000,51.500000,49.335838,16000
2017-07-13,53.099998,53.099998,52.875000,52.875000,50.653057,9600
2017-07-14,53.500000,53.500000,51.500000,52.500000,50.293816,16000
2017-07-17,55.000000,55.000000,51.400002,51.450001,49.287941,44800
2017-07-18,53.125000,53.825001,51.525002,51.575001,49.407684,83200
2017-07-19,52.250000,52.450001,51.099998,51.250000,49.096340,96000
2017-07-20,54.250000,54.250000,51.400002,51.500000,49.335838,51200
2017-07-21,52.250000,52.349998,51.500000,51.500000,49.335838,12800
2017-07-24,53.000000,53.150002,51.349998,51.349998,49.192139,22400
2017-07-25,53.500000,53.500000,51.500000,51.500000,49.335838,12800
2017-07-26,52.250000,52.500000,51.450001,51.450001,49.287941,16000
2017-07-27,52.000000,52.000000,51.299999,51.299999,49.144241,25600
2017-07-28,51.500000,51.674999,51.349998,51.500000,49.335838,25600
2017-07-31,52.250000,52.525002,52.000000,52.000000,49.814823,12800
2017-08-01,52.750000,53.000000,52.200001,52.250000,50.054321,16000
2017-08-02,53.750000,54.000000,53.674999,53.674999,51.419437,9600
2017-08-03,50.549999,50.849998,50.549999,50.849998,48.713146,12800
2017-08-04,51.500000,52.750000,50.000000,50.500000,48.377861,25600
2017-08-07,50.500000,51.000000,48.400002,48.424999,46.390057,22400
2017-08-08,55.000000,55.000000,53.750000,53.750000,51.491287,9600
2017-08-09,52.250000,52.400002,48.500000,48.500000,46.461903,12800
2017-08-10,50.250000,50.500000,48.500000,48.500000,46.461903,16000
2017-08-11,49.500000,50.500000,48.500000,49.000000,46.940895,38400
2017-08-14,50.250000,50.375000,50.250000,50.375000,48.258114,9600
2017-08-16,49.750000,49.849998,48.500000,48.500000,46.461903,12800
2017-08-17,49.900002,50.250000,48.500000,48.500000,46.461903,12800
2017-08-18,49.450001,50.299999,48.500000,50.299999,48.186268,16000
2017-08-21,50.000000,50.375000,50.000000,50.375000,48.258114,12800
2017-08-22,52.500000,52.924999,49.000000,49.000000,46.940895,70400
2017-08-23,48.500000,50.250000,48.500000,50.250000,48.138367,16000
2017-08-24,51.250000,51.250000,51.049999,51.049999,48.904747,9600
2017-08-28,52.000000,52.200001,48.450001,49.625000,47.539627,35200
2017-08-29,52.500000,52.750000,52.250000,52.250000,50.054321,9600
2017-08-30,51.500000,51.599998,48.750000,51.474998,49.311886,16000
2017-08-31,52.000000,52.000000,49.000000,49.000000,46.940895,35200
2017-09-01,50.750000,51.250000,49.250000,49.250000,47.180386,57600
2017-09-04,49.750000,49.900002,48.450001,48.450001,46.414005,19200
2017-09-05,50.000000,50.299999,48.500000,49.000000,46.940895,32000
2017-09-06,49.625000,50.500000,49.000000,49.000000,46.940895,25600
2017-09-07,50.000000,50.500000,50.000000,50.250000,48.138367,9600
2017-09-08,50.500000,50.750000,49.000000,49.000000,46.940895,35200
2017-09-11,51.500000,51.700001,48.025002,49.000000,46.940895,57600
2017-09-12,49.500000,49.750000,48.000000,48.000000,45.982918,12800
2017-09-13,49.500000,49.750000,48.750000,49.000000,47.939636,35200
2017-09-14,49.250000,49.750000,49.250000,49.500000,48.428818,9600
2017-09-15,49.500000,50.500000,48.000000,48.000000,46.961273,19200
2017-09-18,50.500000,50.500000,50.250000,50.375000,49.284878,9600
2017-09-19,50.625000,50.700001,50.625000,50.650002,49.553932,9600
2017-09-20,50.750000,50.900002,50.250000,50.250000,49.162586,9600
2017-09-21,50.000000,50.000000,49.500000,49.500000,48.428818,9600
2017-09-22,49.500000,49.549999,48.000000,48.000000,46.961273,12800
2017-09-25,48.000000,48.849998,48.000000,48.000000,46.961273,16000
2017-09-26,49.750000,49.750000,49.000000,49.000000,47.939636,76800
2017-09-27,50.500000,50.500000,47.950001,47.950001,46.912357,22400
2017-09-28,49.500000,49.700001,49.500000,49.700001,48.624489,9600
2017-09-29,49.250000,49.375000,48.000000,48.000000,46.961273,19200
2017-10-03,49.250000,49.275002,48.000000,48.000000,46.961273,12800
2017-10-04,49.250000,49.400002,49.250000,49.325001,48.257603,9600
2017-10-05,48.750000,48.750000,47.950001,48.250000,47.205868,32000
2017-10-06,48.950001,48.950001,48.000000,48.174999,47.132488,19200
2017-10-09,48.500000,51.125000,48.500000,48.500000,47.450455,25600
2017-10-10,49.000000,49.049999,48.000000,48.000000,46.961273,12800
2017-10-11,49.500000,49.625000,49.500000,49.599998,48.526649,9600
2017-10-12,49.250000,49.325001,49.000000,49.000000,47.939636,9600
2017-10-13,48.625000,49.000000,48.000000,48.500000,47.450455,32000
2017-10-16,48.500000,48.500000,48.500000,48.500000,47.450455,0
2017-10-17,48.500000,48.500000,48.500000,48.500000,47.450455,0
2017-10-18,48.500000,48.500000,48.500000,48.500000,47.450455,0
2017-10-19,49.500000,49.500000,49.250000,49.400002,48.330982,9600
2017-10-23,48.000000,48.000000,48.000000,48.000000,46.961273,3200
2017-10-24,48.000000,48.000000,48.000000,48.000000,46.961273,6400
2017-10-25,48.000000,48.000000,48.000000,48.000000,46.961273,0
2017-10-26,48.000000,48.000000,48.000000,48.000000,46.961273,0
2017-10-27,48.000000,48.000000,48.000000,48.000000,46.961273,6400
2017-10-30,48.000000,48.000000,48.000000,48.000000,46.961273,3200
