Date,Open,High,Low,Close,Adj Close,Volume
1996-01-02,43.712101,43.899700,43.149300,43.899700,10.387866,5330
1996-01-03,null,null,null,null,null,null
1996-01-04,42.398899,43.336899,42.398899,43.243099,10.232493,1066
1996-01-05,43.327499,43.336899,43.327499,43.336899,10.254688,1333
1996-01-08,43.336899,43.149300,42.211300,43.149300,10.210298,3465
1996-01-09,43.149300,40.335201,38.834400,38.843700,9.191478,1866
1996-01-10,39.397202,42.586498,39.397202,42.586498,10.077126,2665
1996-01-11,42.586498,46.151001,42.586498,45.400600,10.743018,3731
1996-01-12,45.400600,48.777500,46.338600,46.901402,11.098150,3465
1996-01-15,46.901402,51.591499,46.901402,51.591499,12.207953,6663
1996-01-16,51.591499,52.998600,51.591499,51.844799,12.267892,3465
1996-01-17,50.278301,53.467602,49.715500,51.028702,12.074781,8795
1996-01-18,51.028702,51.591499,47.839401,48.589802,11.497671,5863
1996-01-19,48.589802,50.653500,48.120800,50.540901,11.959356,86085
1996-01-22,50.540901,50.653500,49.340302,49.340302,11.675262,325417
1996-01-23,49.340302,51.160000,48.308399,48.308399,11.431085,57568
1996-01-24,48.308399,47.839401,47.604900,47.604900,11.264617,53303
1996-01-25,47.604900,47.276600,45.775799,46.338600,10.964975,6396
1996-01-26,null,null,null,null,null,null
1996-01-29,45.963402,46.713799,45.963402,46.713799,11.053759,2132
1996-01-30,46.713799,47.182800,46.526199,46.526199,11.009367,2932
1996-01-31,46.526199,46.901402,46.526199,46.901402,11.098150,1333
1996-02-01,46.920200,46.920200,46.920200,46.920200,11.102597,267
1996-02-02,46.920200,47.276600,47.276600,47.276600,11.186931,267
1996-02-05,47.276600,51.019299,50.981800,50.981800,12.063684,1333
1996-02-06,50.981800,51.075600,51.075600,51.075600,12.085880,267
1996-02-07,51.075600,47.839401,47.839401,47.839401,11.320107,267
1996-02-08,null,null,null,null,null,null
1996-02-09,47.839401,47.839401,46.901402,46.901402,11.098150,3198
1996-02-12,null,null,null,null,null,null
1996-02-13,46.901402,51.403900,46.901402,49.246498,11.653064,2399
1996-02-14,49.246498,53.936600,52.529598,53.467602,12.651895,3998
1996-02-15,53.467602,53.467602,52.904800,53.092400,12.563107,2132
1996-02-16,51.788502,52.529598,51.779099,52.529598,12.429937,1866
1996-02-19,52.529598,52.529598,52.529598,52.529598,12.429937,4264
1996-02-20,52.529598,54.780800,52.529598,54.180500,12.820580,6396
1996-02-21,null,null,null,null,null,null
1996-02-22,52.529598,54.602600,52.529598,54.602600,12.920462,3998
1996-02-23,54.405602,56.469299,54.405602,56.140999,13.284490,113536
1996-02-26,56.140999,58.157700,56.291000,56.412998,13.348851,3731
1996-02-27,56.412998,56.647499,55.343700,55.343700,13.095826,2665
1996-02-28,54.180500,56.281700,54.180500,55.437500,13.118022,6130
1996-02-29,55.296700,55.343700,55.296700,55.343700,13.095826,14125
1996-03-01,55.343700,56.281700,55.343700,55.821999,13.209003,27718
1996-03-04,55.821999,57.219700,55.155998,56.506802,13.371050,21321
1996-03-05,null,null,null,null,null,null
1996-03-06,56.506802,56.281700,55.531200,56.281700,13.317786,190026
1996-03-07,56.281700,56.469299,54.424400,56.281700,13.317786,143652
1996-03-08,54.405602,56.422401,54.405602,56.281700,13.317786,22121
1996-03-11,56.281700,56.281700,54.593201,56.281700,13.317786,21055
1996-03-12,54.405602,55.718899,54.405602,55.531200,13.140195,19989
1996-03-13,54.405602,54.405602,54.405602,54.405602,12.873850,267
1996-03-14,54.217999,54.405602,54.217999,54.405602,12.873850,1333
1996-03-15,null,null,null,null,null,null
1996-03-18,53.749001,53.749001,53.749001,53.749001,12.718478,800
1996-03-19,53.279999,53.279999,53.270599,53.270599,12.605277,1066
1996-03-20,null,null,null,null,null,null
1996-03-21,53.270599,55.906502,53.842800,55.906502,13.229002,69294
1996-03-22,54.415001,54.865200,54.415001,54.733898,12.951533,1066
1996-03-25,54.733898,54.780800,54.405602,54.780800,12.962631,1333
1996-03-26,54.780800,55.718899,54.771500,55.531200,13.140195,7729
1996-03-27,55.531200,55.540600,54.883999,55.353001,13.098027,3731
1996-03-28,53.655201,55.718899,53.655201,55.521900,13.137993,1066
1996-03-29,55.521900,55.718899,54.968399,55.155998,13.051414,3731
1996-04-01,null,null,null,null,null,null
1996-04-02,55.155998,56.628700,55.578201,56.262901,13.313334,2132
1996-04-03,56.262901,56.094101,55.906502,56.094101,13.273393,1599
1996-04-04,55.906502,55.906502,55.343700,55.343700,13.095826,1599
1996-04-05,null,null,null,null,null,null
1996-04-08,55.353001,55.906502,55.353001,55.484299,13.129094,2932
1996-04-09,55.484299,55.484299,55.062199,55.155998,13.051414,2932
1996-04-10,null,null,null,null,null,null
1996-04-11,55.155998,53.467602,52.529598,52.529598,12.429937,1333
1996-04-12,51.779099,51.872898,51.779099,51.826000,12.263446,1599
1996-04-15,50.653500,51.591499,50.653500,51.028702,12.074781,2132
1996-04-16,52.529598,52.548302,51.591499,52.548302,12.434358,3998
1996-04-17,54.405602,56.272301,54.405602,55.653198,13.169063,5064
1996-04-18,55.653198,57.219700,55.353001,55.934601,13.235646,3731
1996-04-19,55.531200,58.157700,55.531200,58.139000,13.757273,82620
1996-04-22,57.219700,57.219700,55.343700,55.343700,13.095826,4264
1996-04-23,55.343700,54.415001,53.842800,54.405602,12.873850,4531
1996-04-24,54.602600,54.602600,54.602600,54.602600,12.920462,533
1996-04-25,54.602600,56.187901,54.405602,54.405602,12.873850,1599
