Date,Open,High,Low,Close,Adj Close,Volume
2011-03-30,26.750000,27.000000,23.500000,24.900000,18.079201,36735852
2011-03-31,24.950001,25.450001,24.450001,24.650000,17.897682,3261414
2011-04-01,24.500000,24.799999,23.850000,24.100000,17.498344,1403306
2011-04-04,24.200001,24.250000,23.549999,23.750000,17.244219,1156800
2011-04-05,23.900000,23.900000,23.200001,23.500000,17.062698,1190100
2011-04-06,23.600000,23.600000,22.799999,22.900000,16.627058,1557273
2011-04-07,23.000000,23.000000,22.400000,22.500000,16.336628,1891121
2011-04-08,22.500000,24.100000,22.500000,23.400000,16.990093,1720743
2011-04-11,23.950001,25.000000,22.900000,23.000000,16.699665,815257
2011-04-13,23.100000,23.350000,22.600000,22.700001,16.481842,981200
2011-04-15,22.850000,22.850000,22.150000,22.299999,16.191416,1201100
2011-04-18,22.400000,22.500000,22.000000,22.049999,16.009895,758335
2011-04-19,21.950001,22.150000,21.450001,21.500000,15.610557,824303
2011-04-20,21.650000,22.799999,21.600000,22.650000,16.445541,753867
2011-04-21,22.850000,23.200001,22.000000,22.200001,16.118807,294430
2011-04-25,22.200001,22.200001,21.650000,21.750000,15.792075,180791
2011-04-26,21.700001,21.799999,21.400000,21.650000,15.719468,305469
2011-04-27,21.799999,22.250000,21.600000,22.000000,15.973594,299629
2011-04-28,22.049999,22.450001,21.900000,22.200001,16.118807,359000
2011-04-29,22.200001,22.200001,21.600000,21.650000,15.719468,206500
2011-05-02,21.750000,21.850000,21.200001,21.250000,15.429040,163861
2011-05-03,21.549999,21.600000,20.549999,20.600000,14.957092,312987
2011-05-04,20.850000,20.850000,19.650000,19.900000,14.448840,396500
2011-05-05,20.000000,20.299999,19.750000,19.799999,14.376232,256018
2011-05-06,20.000000,20.000000,19.500000,19.600000,14.231018,215210
2011-05-09,19.950001,19.950001,19.100000,19.100000,13.867982,230900
2011-05-10,19.250000,19.400000,18.799999,18.900000,13.722767,279778
2011-05-11,19.000000,19.500000,18.799999,19.350000,14.049500,287998
2011-05-12,19.299999,19.400000,19.000000,19.200001,13.940590,182632
2011-05-13,19.200001,19.200001,18.900000,19.100000,13.867982,102000
2011-05-16,19.100000,19.150000,18.700001,18.700001,13.577555,117503
2011-05-17,18.400000,18.799999,17.799999,17.950001,13.033000,358716
2011-05-18,18.049999,18.200001,17.600000,17.799999,12.924088,186229
