Date,Open,High,Low,Close,Adj Close,Volume
2002-08-12,429.100006,441.899994,425.149994,426.149994,323.633057,1648
2002-08-13,425.049988,436.000000,424.000000,431.000000,327.316345,1542
2002-08-14,430.049988,439.899994,422.049988,433.000000,328.835266,2323
2002-08-15,null,null,null,null,null,null
2002-08-16,440.899994,440.899994,430.000000,432.649994,328.569366,827
2002-08-19,403.000000,445.850006,403.000000,429.149994,325.911316,431
2002-08-20,434.899994,435.000000,426.549988,428.600006,325.493652,2059
2002-08-21,422.000000,431.000000,422.000000,426.549988,323.936798,2306
2002-08-22,425.299988,434.350006,425.000000,428.450012,325.379730,1843
2002-08-23,420.049988,434.950012,420.049988,432.549988,328.493408,1274
2002-08-26,425.200012,433.899994,425.049988,428.799988,325.645599,1954
2002-08-27,426.250000,436.000000,426.250000,428.799988,325.645599,1135
2002-08-28,433.450012,434.950012,429.500000,434.350006,329.860443,1333
2002-08-29,439.549988,442.000000,433.000000,438.000000,332.632263,2435
2002-08-30,437.049988,439.850006,432.149994,437.200012,332.024780,1928
2002-09-02,430.000000,438.149994,428.750000,436.600006,331.569122,3000
2002-09-03,447.899994,447.899994,430.399994,437.600006,332.328552,1798
2002-09-04,437.950012,442.000000,434.049988,440.049988,334.189117,2275
2002-09-05,436.350006,440.899994,430.000000,432.049988,328.113647,2974
2002-09-06,438.000000,439.950012,436.000000,438.299988,332.860199,840
2002-09-09,440.000000,440.000000,432.049988,435.700012,330.885620,3352
2002-09-10,null,null,null,null,null,null
2002-09-11,412.000000,420.000000,412.000000,414.549988,314.823547,5000
2002-09-12,418.000000,419.899994,415.100006,416.250000,316.114655,906
2002-09-13,415.500000,419.750000,415.000000,416.850006,316.570374,518
2002-09-16,410.000000,420.799988,402.149994,405.399994,307.874756,3046
2002-09-17,408.000000,410.000000,400.000000,402.299988,305.520508,1893
2002-09-18,403.500000,408.600006,402.149994,404.100006,306.887451,1061
2002-09-19,404.000000,404.000000,394.100006,396.549988,301.153748,2616
2002-09-20,425.799988,425.799988,391.000000,400.850006,304.419342,1311
2002-09-23,400.000000,405.000000,395.250000,396.100006,300.812042,936
2002-09-24,396.049988,398.500000,390.000000,394.850006,299.862732,1723
2002-09-25,393.549988,399.700012,393.500000,397.649994,301.989227,931
2002-09-26,397.000000,399.649994,392.000000,394.899994,299.900726,813
2002-09-27,395.049988,400.000000,395.049988,399.899994,303.697876,404
2002-09-30,425.000000,425.000000,400.049988,415.450012,315.507111,6844
2002-10-01,411.200012,417.799988,411.000000,411.350006,312.393372,3959
2002-10-02,null,null,null,null,null,null
2002-10-03,418.850006,418.850006,398.000000,401.649994,305.026886,5254
2002-10-04,419.799988,419.799988,404.149994,412.799988,313.494568,1626
2002-10-07,400.250000,417.850006,400.250000,416.100006,316.000732,1038
2002-10-08,428.950012,428.950012,405.049988,416.950012,316.646240,1282
2002-10-09,408.049988,414.549988,406.250000,408.250000,310.039185,3493
2002-10-10,402.649994,414.950012,402.649994,408.700012,310.380890,764
2002-10-11,429.950012,429.950012,406.049988,417.700012,317.215851,4857
2002-10-14,430.000000,430.000000,412.399994,416.399994,316.228577,367
2002-10-15,null,null,null,null,null,null
2002-10-16,417.000000,425.000000,413.049988,417.950012,317.405792,5787
2002-10-17,414.000000,418.500000,410.000000,413.200012,313.798370,1774
2002-10-18,416.799988,418.700012,396.000000,398.250000,302.444763,4845
2002-10-21,400.100006,404.899994,381.000000,382.700012,290.635651,8855
2002-10-22,399.000000,399.000000,383.049988,389.450012,295.761810,5418
2002-10-23,394.000000,394.799988,386.100006,391.649994,297.432587,3114
2002-10-24,385.000000,398.399994,385.000000,394.950012,299.938690,2747
2002-10-25,400.000000,405.000000,380.000000,382.450012,290.445801,5714
2002-10-28,378.000000,384.950012,363.000000,366.049988,277.990997,12330
2002-10-29,370.100006,370.100006,364.100006,365.149994,277.307495,4173
2002-10-30,373.000000,373.000000,364.000000,365.700012,277.725189,3103
2002-10-31,372.250000,372.299988,368.000000,370.000000,280.990845,2487
2002-11-01,378.399994,378.450012,355.000000,362.899994,275.598755,2326
2002-11-04,369.950012,373.000000,368.049988,372.549988,282.927338,762
2002-11-05,375.000000,375.000000,370.149994,373.750000,283.838715,729
2002-11-06,null,null,null,null,null,null
2002-11-07,376.450012,379.750000,371.299988,375.100006,284.863953,1743
2002-11-08,378.000000,378.000000,370.000000,372.000000,282.509644,1270
2002-11-11,372.000000,372.000000,365.000000,366.100006,278.028961,1006
2002-11-12,370.000000,374.000000,366.000000,367.950012,279.433990,527
2002-11-13,374.850006,374.850006,368.200012,369.299988,280.459167,770
2002-11-14,370.000000,372.950012,367.000000,368.000000,279.471924,1147
2002-11-15,373.950012,374.000000,368.149994,370.600006,281.446442,1845
2002-11-18,369.000000,370.899994,368.000000,368.299988,279.699707,654
2002-11-19,null,null,null,null,null,null
2002-11-20,377.850006,377.850006,368.049988,369.649994,280.724976,1197
2002-11-21,371.000000,371.000000,366.000000,367.750000,279.282104,1870
2002-11-22,367.750000,367.899994,366.200012,366.950012,278.674561,1101
2002-11-25,367.000000,373.950012,365.000000,366.450012,278.294800,3381
2002-11-26,367.500000,380.000000,367.000000,374.750000,284.598114,9459
2002-11-27,372.000000,377.000000,372.000000,374.799988,284.636047,1466
2002-11-28,379.600006,379.600006,372.049988,373.799988,283.876617,4379
2002-11-29,null,null,null,null,null,null
2002-12-02,376.500000,378.000000,372.549988,375.000000,284.787964,1886
2002-12-03,378.000000,378.000000,371.149994,371.450012,282.091980,1421
2002-12-04,372.549988,374.000000,372.549988,373.600006,283.724701,596
2002-12-05,375.000000,375.000000,368.750000,369.700012,280.763000,4170
2002-12-06,373.000000,378.000000,371.149994,374.200012,284.180420,1501
2002-12-09,375.000000,377.000000,371.000000,372.799988,283.117218,3711
2002-12-10,371.100006,373.450012,365.100006,366.649994,278.446747,5477
2002-12-11,367.549988,377.700012,367.549988,375.600006,285.243622,3281
2002-12-12,371.000000,379.000000,371.000000,376.549988,285.965118,2568
2002-12-13,377.899994,393.000000,377.600006,389.700012,295.951660,5291
2002-12-16,390.100006,396.000000,376.049988,384.549988,292.040527,2645
2002-12-17,387.000000,387.100006,379.000000,380.399994,288.888855,1246
2002-12-18,380.399994,382.700012,378.399994,379.950012,288.547241,1503
2002-12-19,378.750000,385.000000,378.750000,383.049988,290.901367,1567
2002-12-20,384.899994,386.149994,381.850006,385.450012,292.724091,2079
2002-12-23,387.000000,395.000000,385.000000,390.049988,296.217468,5971
2002-12-24,390.100006,392.000000,388.100006,389.100006,295.496002,1545
2002-12-25,null,null,null,null,null,null
2002-12-26,386.549988,394.000000,386.500000,392.700012,298.230011,1549
2002-12-27,390.000000,393.000000,387.750000,391.950012,297.660400,3891
2002-12-30,390.250000,405.100006,390.000000,403.649994,306.545807,3298
2002-12-31,403.000000,403.799988,396.549988,400.799988,304.381378,1803
2003-01-01,401.000000,401.000000,395.799988,400.399994,304.077576,1487
2003-01-02,400.049988,402.500000,400.000000,400.500000,304.153534,961
2003-01-03,400.000000,400.000000,397.100006,398.799988,302.862488,671
2003-01-06,390.000000,453.000000,390.000000,396.200012,300.888000,1566
2003-01-07,393.000000,399.700012,393.000000,395.649994,300.470245,1335
