Date,Open,High,Low,Close,Adj Close,Volume
2015-08-26,600.000000,663.000000,580.000000,586.549988,582.095642,3974532
2015-08-27,597.000000,656.900024,595.099976,635.849976,631.021240,1290003
2015-08-28,641.900024,651.349976,619.099976,623.599976,618.864258,274983
2015-08-31,619.150024,625.000000,608.500000,614.700012,610.031921,146561
2015-09-01,606.000000,618.750000,583.599976,587.799988,583.336182,114905
2015-09-02,598.799988,615.000000,560.299988,608.400024,603.779724,86057
2015-09-03,614.000000,618.950012,603.000000,610.599976,605.962891,44136
2015-09-04,619.799988,619.799988,591.000000,601.049988,596.485535,89176
2015-09-07,603.000000,608.000000,581.750000,586.299988,581.847534,21473
2015-09-08,595.000000,599.000000,582.349976,589.799988,585.320984,31816
2015-09-09,597.900024,598.000000,581.500000,584.799988,580.358948,26040
2015-09-10,580.000000,584.400024,574.000000,580.500000,576.091614,17927
2015-09-11,585.099976,587.400024,574.099976,578.450012,574.057190,21051
2015-09-14,582.000000,592.500000,572.000000,586.950012,582.492615,40046
2015-09-15,581.049988,588.900024,581.000000,583.500000,579.068726,13668
2015-09-16,592.799988,592.799988,569.599976,570.849976,566.514893,29892
2015-09-18,572.000000,577.599976,565.099976,568.700012,564.381226,14969
2015-09-21,568.099976,589.950012,565.000000,580.000000,575.595337,57477
2015-09-22,582.000000,588.799988,573.500000,575.150024,570.782227,22498
2015-09-23,575.000000,589.000000,568.049988,584.799988,580.358948,13576
2015-09-24,580.099976,591.450012,577.700012,580.099976,575.694519,9359
2015-09-28,579.000000,581.450012,573.000000,574.750000,570.385254,11661
2015-09-29,572.049988,577.000000,567.650024,575.599976,571.228760,17187
2015-09-30,577.000000,579.950012,575.700012,577.150024,572.767029,6338
2015-10-01,580.000000,625.000000,574.700012,601.500000,596.932068,119940
2015-10-05,603.099976,620.000000,596.650024,605.150024,600.554443,36452
2015-10-06,604.900024,610.000000,602.000000,605.200012,600.603943,14779
2015-10-07,600.299988,615.799988,600.099976,612.400024,607.749329,27310
2015-10-08,606.099976,607.599976,591.000000,593.349976,588.843933,11343
2015-10-09,592.200012,599.000000,581.250000,584.000000,579.565063,15990
2015-10-12,584.200012,598.000000,580.000000,590.450012,585.966064,7860
2015-10-13,585.049988,607.849976,582.250000,598.599976,594.054077,52993
2015-10-14,600.000000,618.200012,595.099976,610.700012,606.062195,140076
2015-10-15,605.150024,622.849976,602.200012,608.299988,603.680481,25994
2015-10-16,609.950012,622.000000,608.349976,616.049988,611.371643,40475
2015-10-19,618.450012,622.750000,611.150024,616.150024,611.470886,25150
2015-10-20,620.250000,631.000000,600.000000,602.799988,598.222168,66026
2015-10-21,609.650024,622.400024,607.049988,611.349976,606.707275,42130
2015-10-23,617.700012,628.400024,611.200012,622.950012,618.219177,46311
2015-10-26,620.849976,624.000000,607.000000,611.049988,606.409546,7968
2015-10-27,610.049988,619.950012,602.000000,614.299988,609.634827,20048
2015-10-28,614.349976,619.450012,610.000000,613.000000,608.344788,5675
2015-10-29,613.900024,614.500000,604.000000,606.150024,601.546814,16171
2015-10-30,606.250000,612.000000,583.950012,591.349976,586.859192,8641
2015-11-02,588.750000,598.500000,587.000000,593.450012,588.943176,6720
2015-11-03,593.049988,608.750000,590.750000,606.549988,601.943787,14542
2015-11-04,605.049988,617.150024,605.000000,605.950012,601.348267,10069
2015-11-05,608.450012,611.750000,600.000000,603.599976,599.016113,12247
2015-11-06,595.650024,607.450012,592.000000,598.950012,594.401428,7029
2015-11-09,586.000000,603.000000,581.299988,600.200012,595.642029,11925
2015-11-10,596.000000,629.900024,596.000000,617.950012,613.257141,42949
2015-11-13,619.000000,619.000000,603.900024,609.250000,604.623230,3348
2015-11-16,610.000000,615.000000,601.000000,604.299988,599.710876,24081
2015-11-17,608.000000,628.900024,597.099976,622.349976,617.623657,30368
2015-11-18,616.150024,623.099976,610.099976,615.049988,610.379150,11314
2015-11-19,610.549988,617.000000,607.000000,608.150024,603.531555,10808
2015-11-20,613.049988,615.000000,609.049988,612.849976,608.195862,5985
2015-11-23,609.299988,615.000000,606.099976,610.349976,605.714905,52161
2015-11-24,606.049988,645.000000,606.049988,622.150024,617.425293,53313
2015-11-26,622.500000,640.000000,622.500000,634.750000,629.929565,29402
2015-11-27,627.200012,635.900024,622.049988,628.400024,623.627808,16164
2015-11-30,621.000000,628.000000,610.049988,613.500000,608.840942,8013
2015-12-01,613.250000,624.000000,613.000000,614.549988,609.882935,7547
2015-12-02,616.299988,617.549988,610.099976,611.950012,607.302795,2989
2015-12-03,610.000000,618.000000,606.000000,606.849976,602.241455,4206
2015-12-04,610.000000,610.000000,595.000000,600.049988,595.493103,37096
2015-12-07,600.000000,611.900024,600.000000,610.650024,606.012695,9456
2015-12-08,605.000000,619.700012,605.000000,613.450012,608.791321,11129
2015-12-09,610.000000,611.200012,601.000000,607.700012,603.085022,16284
2015-12-10,605.049988,616.299988,604.150024,614.000000,609.337219,3687
2015-12-11,621.500000,621.500000,605.000000,608.750000,604.127075,3591
2015-12-14,606.049988,613.900024,606.000000,612.599976,607.947693,4714
2015-12-15,605.000000,616.000000,605.000000,615.000000,610.329529,7346
2015-12-16,613.500000,621.750000,601.000000,619.950012,615.242004,20979
2015-12-17,619.950012,634.000000,616.950012,624.950012,620.204041,53910
2015-12-18,617.599976,639.900024,617.599976,630.349976,625.562988,19967
2015-12-21,630.000000,634.849976,628.000000,630.799988,626.009644,4773
2015-12-22,632.750000,638.500000,630.000000,633.150024,628.341675,9635
2015-12-23,636.650024,636.650024,631.000000,634.500000,629.681519,13477
2015-12-24,616.000000,644.950012,616.000000,636.799988,631.963989,14067
2015-12-28,632.000000,640.000000,628.000000,638.650024,633.799988,46539
2015-12-29,639.000000,665.000000,636.000000,657.700012,652.705322,59711
2015-12-30,660.049988,668.400024,650.799988,656.299988,651.315979,22410
2015-12-31,654.049988,662.900024,650.000000,659.950012,654.938232,50473
2016-01-01,655.599976,669.950012,654.349976,660.049988,655.037415,13234
2016-01-04,642.500000,659.900024,640.000000,654.700012,649.728088,14526
2016-01-05,658.450012,666.599976,650.000000,660.250000,655.235962,13768
2016-01-06,657.549988,677.000000,656.500000,660.150024,655.136658,14743
2016-01-07,655.049988,662.000000,651.099976,660.200012,655.186340,15329
2016-01-08,669.000000,669.000000,660.000000,662.299988,657.270325,6466
2016-01-11,654.000000,695.000000,652.000000,686.599976,681.385803,31755
2016-01-12,682.000000,702.200012,670.000000,676.000000,670.866394,26534
2016-01-13,683.750000,688.000000,598.900024,667.349976,662.282043,93121
2016-01-14,658.700012,659.950012,639.000000,649.849976,644.914917,29221
2016-01-15,655.000000,662.950012,627.049988,646.849976,641.937683,22869
2016-01-18,613.099976,629.099976,579.000000,582.099976,577.679443,16210
2016-01-19,560.150024,604.000000,560.150024,597.549988,593.012146,2823
2016-01-20,575.000000,596.950012,572.000000,574.799988,570.434875,7200
2016-01-21,599.000000,605.000000,589.950012,602.049988,597.477966,5379
2016-01-22,606.000000,630.000000,602.000000,616.450012,611.768616,4881
2016-01-25,627.900024,638.000000,608.000000,610.349976,605.714905,5584
2016-01-27,622.000000,622.000000,606.549988,608.250000,603.630859,2266
2016-01-28,604.000000,615.000000,595.000000,596.700012,592.168579,900
2016-01-29,601.349976,605.000000,588.000000,590.900024,586.412598,12382
2016-02-01,600.000000,606.500000,597.000000,599.400024,594.848022,3448
2016-02-02,605.000000,607.000000,583.200012,589.799988,585.320984,3579
2016-02-03,582.150024,593.000000,579.900024,582.750000,578.324524,1254
2016-02-04,591.549988,594.849976,581.000000,585.150024,580.706238,1379
2016-02-05,586.000000,590.049988,576.000000,587.450012,582.988831,2672
2016-02-08,583.549988,598.450012,580.000000,584.250000,579.813049,3149
2016-02-09,581.250000,587.950012,581.099976,583.549988,579.118469,480
2016-02-10,581.349976,581.349976,577.000000,577.599976,573.213562,1696
2016-02-11,580.000000,620.799988,545.000000,577.049988,572.667786,4596
2016-02-12,565.049988,565.049988,548.000000,554.250000,550.040894,2334
2016-02-15,585.000000,588.000000,558.000000,561.200012,556.938171,8896
2016-02-16,566.000000,639.000000,546.099976,550.450012,546.269775,5900
2016-02-17,564.950012,568.000000,543.000000,548.799988,544.632324,7133
2016-02-18,544.099976,575.000000,544.099976,572.049988,567.705750,4935
2016-02-19,570.000000,582.450012,564.450012,574.849976,570.484375,2416
2016-02-22,559.349976,573.099976,559.349976,571.849976,567.507263,920
2016-02-23,561.250000,578.500000,557.000000,560.000000,555.747253,7083
2016-02-24,574.000000,574.000000,553.000000,563.549988,559.270325,10398
2016-02-25,548.150024,565.049988,548.150024,564.900024,560.610046,478
2016-02-26,565.000000,575.049988,560.000000,572.549988,568.202026,2153
2016-02-29,561.150024,576.849976,560.000000,575.000000,570.633423,1840
2016-03-01,569.000000,576.599976,550.150024,573.750000,569.392822,76611
2016-03-02,582.000000,582.500000,563.000000,570.000000,565.671387,110987
2016-03-03,567.099976,574.000000,567.099976,570.750000,566.415649,958
2016-03-04,576.750000,584.000000,566.049988,570.599976,566.266724,2236
2016-03-08,572.549988,572.650024,566.000000,566.549988,562.247437,2674
2016-03-09,555.000000,570.000000,555.000000,560.549988,556.293152,1296
2016-03-10,562.150024,578.000000,562.000000,576.900024,572.518921,2712
2016-03-11,566.950012,578.799988,566.950012,577.299988,572.915833,52438
2016-03-14,573.650024,575.000000,562.000000,563.500000,559.220764,25893
2016-03-15,565.599976,570.000000,561.099976,564.299988,560.014648,5996
2016-03-16,559.000000,568.750000,559.000000,565.299988,561.006958,8045
2016-03-17,565.000000,575.000000,560.000000,561.599976,557.335083,1317
2016-03-18,570.000000,570.000000,561.000000,566.599976,562.297119,1296
2016-03-21,564.549988,570.000000,564.500000,568.049988,563.736084,3696
2016-03-22,565.150024,571.000000,563.750000,566.799988,562.495605,1272
2016-03-23,565.450012,567.750000,559.950012,561.599976,557.335083,2235
2016-03-28,562.049988,590.000000,547.000000,566.500000,562.197937,11147
2016-03-29,567.549988,567.549988,550.500000,553.799988,550.566223,2946
2016-03-30,553.000000,576.500000,553.000000,568.849976,565.528320,4396
2016-03-31,558.450012,567.000000,558.000000,559.099976,555.835327,1640
2016-04-01,566.950012,579.900024,562.250000,578.599976,575.221375,3622
2016-04-04,579.849976,594.849976,578.049988,592.950012,589.487610,993
2016-04-05,591.750000,598.950012,575.000000,576.000000,572.636597,4429
2016-04-06,577.049988,582.450012,576.099976,577.549988,574.177551,630
2016-04-07,579.650024,580.400024,575.000000,575.900024,572.537231,627
2016-04-08,579.849976,582.000000,571.650024,576.400024,573.034302,383
2016-04-11,572.099976,588.000000,572.049988,584.349976,580.937805,704
2016-04-12,595.049988,598.950012,575.049988,589.900024,586.455505,15700
2016-04-13,590.849976,615.000000,589.950012,606.000000,602.461365,4799
2016-04-18,594.950012,604.150024,590.000000,592.099976,588.642578,633
2016-04-20,593.950012,593.950012,585.000000,585.450012,582.031372,9490
2016-04-21,590.099976,615.000000,577.950012,594.950012,591.475952,21197
2016-04-22,600.000000,605.000000,584.950012,597.750000,594.259644,13285
2016-04-25,599.950012,603.000000,582.000000,597.950012,594.458496,3764
2016-04-26,594.650024,609.000000,586.000000,602.099976,598.584106,3117
2016-04-27,600.950012,609.000000,600.000000,604.950012,601.417603,2803
2016-04-28,608.299988,608.299988,587.000000,588.000000,584.566528,1125
2016-04-29,588.049988,599.000000,583.200012,589.900024,586.455505,1799
2016-05-02,583.349976,590.049988,580.000000,588.950012,585.510986,9817
2016-05-03,580.000000,602.000000,580.000000,588.400024,584.964172,3687
