Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,0.550000,0.550000,0.544700,0.544700,1.421718,108000
2002-07-02,0.544430,0.544430,0.541930,0.541930,1.414489,63000
2002-07-03,0.538870,0.538870,0.528330,0.528330,1.378991,157500
2002-07-04,0.444430,0.444430,0.444430,0.444430,1.160004,36000
2002-07-05,null,null,null,null,null,null
2002-07-08,null,null,null,null,null,null
2002-07-09,0.498870,0.498870,0.498870,0.498870,1.302098,900
2002-07-10,0.522200,0.522200,0.500000,0.500270,1.305752,792000
2002-07-11,0.555530,0.555530,0.506670,0.522200,1.362991,774180
2002-07-12,0.552770,0.552770,0.529170,0.537500,1.402926,855900
2002-07-15,0.561100,0.561100,0.539430,0.546930,1.427539,630180
2002-07-16,0.544430,0.544430,0.516670,0.531100,1.386221,828000
2002-07-17,0.533330,0.533330,0.530530,0.530530,1.384733,360000
2002-07-18,0.544430,0.544430,0.490270,0.492500,1.285472,517500
2002-07-19,0.550000,0.555530,0.508330,0.509700,1.330365,495000
2002-07-22,0.522200,0.522200,0.511100,0.511100,1.334019,223200
2002-07-23,0.527770,0.527770,0.522200,0.522200,1.362991,252000
2002-07-24,0.522200,0.522200,0.488870,0.488870,1.275997,117000
2002-07-25,0.527770,0.527770,0.491670,0.495830,1.294163,90000
2002-07-26,0.533330,0.536100,0.491930,0.536100,1.399272,72900
2002-07-29,0.488870,0.488870,0.477770,0.477770,1.247025,99000
2002-07-30,0.505530,0.516670,0.447500,0.516670,1.348557,108180
2002-07-31,0.505530,0.508330,0.453030,0.508330,1.326789,72180
2002-08-01,0.516670,0.516670,0.452770,0.511100,1.334019,145800
2002-08-02,null,null,null,null,null,null
2002-08-05,0.511100,0.513870,0.511100,0.513870,1.341250,72000
2002-08-06,0.511100,0.511100,0.509700,0.509700,1.330365,72000
2002-08-07,0.483330,0.483330,0.483330,0.483330,1.261537,108000
2002-08-08,0.511100,0.516670,0.511100,0.511100,1.334019,90000
2002-08-09,0.455530,0.455530,0.455530,0.455530,1.188976,900
2002-08-12,null,null,null,null,null,null
2002-08-13,0.455530,0.501100,0.455530,0.455530,1.188976,34380
2002-08-14,0.494430,0.494430,0.494430,0.494430,1.290509,54000
2002-08-15,null,null,null,null,null,null
2002-08-16,0.500000,0.500000,0.494430,0.494430,1.290509,108000
2002-08-19,null,null,null,null,null,null
2002-08-20,null,null,null,null,null,null
2002-08-21,null,null,null,null,null,null
2002-08-22,0.472200,0.483330,0.472200,0.483330,1.261537,108000
2002-08-23,0.466670,0.469430,0.466670,0.469430,1.225257,72000
2002-08-26,0.461100,0.461100,0.458330,0.458330,1.196284,108000
2002-08-27,0.472200,0.475000,0.472200,0.475000,1.239795,72000
2002-08-28,0.477770,0.477770,0.461100,0.472200,1.232487,72900
2002-08-29,0.475000,0.475000,0.466670,0.466670,1.218053,72000
2002-08-30,0.494430,0.494430,0.483330,0.483330,1.261537,108000
2002-09-02,0.494430,0.494430,0.470830,0.470830,1.228911,216000
2002-09-03,0.488870,0.488870,0.482770,0.482770,1.260075,108000
2002-09-04,0.480530,0.480530,0.455530,0.455530,1.188976,198000
2002-09-05,0.469430,0.469430,0.450000,0.451930,1.179580,135000
2002-09-06,0.466670,0.469430,0.441670,0.443030,1.156350,126000
2002-09-09,0.455530,0.455530,0.444430,0.444430,1.160004,111600
2002-09-10,null,null,null,null,null,null
2002-09-11,0.444430,0.450530,0.444430,0.450530,1.175926,36000
2002-09-12,0.487200,0.487770,0.487200,0.487500,1.272421,1800
2002-09-13,0.443030,0.443030,0.441670,0.441670,1.152800,18000
2002-09-16,0.405530,0.405530,0.404170,0.404170,-0.834502,9000
2002-09-17,null,null,null,null,null,null
2002-09-18,0.444430,0.444430,0.444430,0.444430,-0.917628,18000
2002-09-19,0.488870,0.488870,0.444430,0.487200,-1.005936,38340
2002-09-20,0.455530,0.483330,0.455530,0.458330,-0.946327,36360
2002-09-23,0.455530,0.466670,0.455530,0.466670,-0.963547,144000
2002-09-24,0.472200,0.472200,0.433330,0.461100,-0.952047,216180
2002-09-25,0.461100,0.466670,0.461100,0.466670,-0.963547,258840
2002-09-26,0.483330,0.483330,0.472200,0.472200,-0.974965,108000
2002-09-27,0.483330,0.488870,0.477770,0.477770,-0.986466,342000
2002-09-30,0.488870,0.488870,0.450000,0.483330,-0.997946,401400
2002-10-01,0.480530,0.480530,0.450000,0.472200,-0.974965,163980
2002-10-02,null,null,null,null,null,null
2002-10-03,0.488330,0.488330,0.461100,0.461100,-0.952047,9000
2002-10-04,0.472200,0.483330,0.472200,0.483330,-0.997946,144000
2002-10-07,0.488870,0.494430,0.472200,0.472200,-0.974965,216000
2002-10-08,0.472200,0.477770,0.472200,0.477770,-0.986466,108000
2002-10-09,0.472200,0.477770,0.472200,0.477770,-0.986466,108000
2002-10-10,0.477770,0.494430,0.477770,0.491670,-1.015165,288000
2002-10-11,0.488870,0.500000,0.488870,0.493030,-1.017974,397980
