Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,8.533330,8.533330,7.873330,8.130000,-0.297929,1756080
2002-07-02,8.000000,8.266670,7.866670,7.910000,-0.289867,593355
2002-07-03,8.066670,8.066670,7.833330,7.883330,-0.288890,250560
2002-07-04,7.933330,8.066670,7.733330,7.803330,-0.285958,220965
2002-07-05,7.866670,9.266670,7.866670,8.863330,-0.324803,1420455
2002-07-08,8.933330,9.500000,8.860000,9.006670,-0.330055,1741935
2002-07-09,9.193330,9.193330,8.533330,8.660000,-0.317351,426435
2002-07-10,8.693330,9.233330,8.533330,8.626670,-0.316130,689100
2002-07-11,8.683330,8.833330,8.600000,8.653330,-0.317107,277410
2002-07-12,8.823330,9.066670,8.746670,8.830000,-0.323581,257730
2002-07-15,8.833330,8.833330,8.266670,8.400000,-0.307824,312300
2002-07-16,8.463330,8.463330,8.066670,8.153330,-0.298784,343425
2002-07-17,8.400000,8.400000,7.733330,7.876670,-0.288646,258345
2002-07-18,8.260000,8.260000,7.866670,8.060000,-0.295364,321570
2002-07-19,8.133330,8.966670,7.963330,8.723330,-0.319672,1070970
2002-07-22,8.860000,8.860000,8.213330,8.256670,-0.302571,496755
2002-07-23,8.393330,8.800000,8.240000,8.713330,-0.319306,280110
2002-07-24,8.800000,8.800000,8.273330,8.323330,-0.305014,220410
2002-07-25,8.666670,8.666670,8.396670,8.410000,-0.308190,175605
2002-07-26,8.333330,8.333330,7.886670,7.913330,-0.289989,174435
2002-07-29,7.333330,7.833330,7.000000,7.283330,-0.266903,275280
2002-07-30,6.866670,7.333330,6.336670,6.566670,-0.240640,432090
2002-07-31,6.100000,6.930000,6.100000,6.630000,-0.242961,244635
2002-08-01,6.666670,7.030000,6.336670,6.593330,-0.241617,212370
2002-08-02,6.533330,6.533330,6.340000,6.406670,-0.234777,67890
2002-08-05,6.600000,6.733330,6.466670,6.673330,-0.244549,276405
2002-08-06,6.743330,6.896670,6.400000,6.716670,-0.246137,112890
2002-08-07,6.800000,7.196670,6.800000,7.010000,-0.256886,232875
2002-08-08,6.900000,7.190000,6.800000,6.913330,-0.253344,170070
2002-08-09,6.970000,7.140000,6.866670,7.063330,-0.258840,66660
2002-08-12,7.266670,7.460000,7.006670,7.113330,-0.260673,75525
2002-08-13,7.133330,7.653330,7.133330,7.550000,-0.276675,198570
2002-08-14,7.600000,7.720000,7.473330,7.503330,-0.274965,141450
2002-08-15,null,null,null,null,null,null
2002-08-16,7.666670,7.666670,7.233330,7.306670,-0.267758,128115
2002-08-19,7.400000,7.400000,6.933330,7.000000,-0.256520,174300
2002-08-20,7.100000,7.100000,6.766670,6.833330,-0.250412,223485
2002-08-21,6.893330,7.200000,6.710000,6.806670,-0.249435,200520
2002-08-22,6.083330,6.513330,6.083330,6.246670,0.487935,161475
2002-08-23,6.333330,6.460000,6.270000,6.356670,0.496527,73800
2002-08-26,6.006670,6.296670,6.006670,6.203330,0.484550,74775
2002-08-27,6.300000,6.300000,6.000000,6.036670,0.471532,46185
2002-08-28,5.933330,6.066670,5.786670,5.806670,0.453566,42060
2002-08-29,5.873330,5.873330,5.476670,5.546670,0.433257,67440
2002-08-30,5.366670,5.730000,5.280000,5.626670,0.439506,65295
2002-09-02,6.293330,6.293330,5.666670,5.766670,0.450442,57465
2002-09-03,5.856670,5.886670,5.733330,5.773330,0.450962,35475
2002-09-04,5.546670,5.616670,5.480000,5.543330,0.432996,58845
2002-09-05,5.663330,5.683330,5.506670,5.550000,0.433517,53625
2002-09-06,5.500000,5.663330,5.466670,5.500000,0.429612,70035
2002-09-09,5.333330,5.626670,5.333330,5.423330,0.423623,41565
2002-09-10,null,null,null,null,null,null
2002-09-11,5.536670,5.536670,5.240000,5.250000,0.410084,54120
2002-09-12,5.260000,5.426670,5.213330,5.263330,0.411125,26235
2002-09-13,5.340000,5.423330,5.200000,5.246670,0.409824,44910
2002-09-16,5.136670,5.266670,5.016670,5.056670,0.394983,74520
2002-09-17,5.073330,5.153330,5.010000,5.110000,0.399149,26685
2002-09-18,4.766670,5.166670,4.766670,5.010000,0.391337,43710
2002-09-19,4.880000,4.900000,4.810000,4.823330,0.376756,18195
2002-09-20,4.823330,4.866670,4.716670,4.746670,0.370768,75465
2002-09-23,4.800000,4.800000,4.666670,4.733330,0.369726,23160
2002-09-24,4.756670,4.756670,4.570000,4.590000,0.358531,60360
2002-09-25,4.383330,4.656670,4.383330,4.553330,0.355666,88710
2002-09-26,4.136670,4.733330,4.136670,4.623330,0.361134,92220
2002-09-27,4.793330,4.793330,4.623330,4.690000,0.366342,49170
2002-09-30,4.620000,4.823330,4.620000,4.693330,0.366602,76110
2002-10-01,4.733330,4.733330,4.640000,4.653330,0.363477,13530
2002-10-02,null,null,null,null,null,null
2002-10-03,4.633330,4.803330,4.600000,4.766670,0.372331,59025
2002-10-04,4.733330,4.830000,4.733330,4.820000,0.376496,26535
2002-10-07,4.803330,5.060000,4.803330,4.976670,0.388734,56535
2002-10-08,5.103330,5.243330,5.063330,5.176670,0.404356,27300
2002-10-09,5.200000,5.460000,5.200000,5.303330,0.414250,63810
2002-10-10,5.366670,5.456670,5.200000,5.360000,0.418676,30825
2002-10-11,5.456670,5.586670,5.403330,5.513330,0.430653,39675
2002-10-14,5.526670,5.526670,5.420000,5.423330,0.423623,8475
2002-10-15,null,null,null,null,null,null
2002-10-16,5.333330,5.520000,5.333330,5.423330,0.423623,20715
2002-10-17,5.433330,5.433330,5.170000,5.340000,0.417114,13410
2002-10-18,5.266670,5.333330,5.206670,5.273330,0.411907,7050
2002-10-21,4.823330,5.496670,4.823330,5.430000,0.424144,30930
2002-10-22,5.463330,5.466670,5.163330,5.226670,0.408262,10275
2002-10-23,5.456670,5.463330,5.266670,5.280000,0.412428,37140
2002-10-24,5.266670,5.300000,5.200000,5.266670,0.411386,13875
2002-10-25,5.133330,5.233330,5.016670,5.116670,0.399670,10650
2002-10-28,5.203330,5.330000,5.150000,5.236670,0.409043,9165
2002-10-29,5.266670,5.266670,5.200000,5.206670,0.406700,10260
2002-10-30,5.300000,5.300000,5.290000,5.293330,0.413469,6000
2002-10-31,5.526670,5.526670,5.300000,5.333330,0.416593,6960
2002-11-01,5.333330,5.460000,5.193330,5.256670,0.410605,11100
2002-11-04,5.333330,5.333330,5.240000,5.260000,0.410865,6150
2002-11-05,5.020000,5.253330,5.020000,5.230000,0.408522,1200
2002-11-06,null,null,null,null,null,null
2002-11-07,5.033330,5.350000,4.820000,5.306670,0.414511,30900
2002-11-08,5.283330,5.306670,5.266670,5.290000,0.413209,5550
2002-11-11,5.216670,5.266670,5.143330,5.233330,0.408782,11670
2002-11-12,5.200000,5.233330,5.166670,5.176670,0.404356,1875
2002-11-13,5.136670,5.226670,5.133330,5.223330,0.408001,5190
2002-11-14,5.010000,5.186670,5.010000,5.166670,0.403575,4875
2002-11-15,5.253330,5.253330,5.066670,5.170000,0.403835,6540
2002-11-18,5.260000,5.286670,5.136670,5.190000,0.405397,21150
2002-11-19,null,null,null,null,null,null
2002-11-20,5.196670,5.200000,5.003330,5.100000,0.398367,30900
2002-11-21,5.166670,5.226670,5.136670,5.193330,0.405658,93345
2002-11-22,5.200000,5.226670,5.066670,5.150000,0.402273,56880
