Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,6.850000,7.275000,6.800000,6.867500,0.036762,13400
2002-07-02,6.752500,6.752500,6.505000,6.515000,0.034875,25000
2002-07-03,null,null,null,null,null,null
2002-07-04,6.650000,7.150000,6.650000,6.900000,0.036936,49020
2002-07-05,6.900000,6.900000,6.750000,6.755000,0.036160,4000
2002-07-08,6.550000,6.997500,6.450000,6.800000,0.036401,7980
2002-07-09,6.800000,7.350000,6.800000,7.245000,0.038783,90780
2002-07-10,7.300000,7.300000,7.000000,7.217500,0.038636,40880
2002-07-11,7.400000,7.500000,7.075000,7.345000,0.039318,89380
2002-07-12,7.500000,7.800000,7.500000,7.717500,0.041312,25340
2002-07-15,7.625000,7.625000,7.355000,7.472500,0.040001,35220
2002-07-16,7.065000,7.650000,7.065000,7.442500,0.039840,17120
2002-07-17,7.050000,7.250000,7.050000,7.250000,0.038810,10680
2002-07-18,7.440000,7.440000,7.002500,7.002500,0.037485,22780
2002-07-19,7.295000,7.312500,7.125000,7.125000,0.038140,5200
2002-07-22,7.100000,7.100000,6.750000,6.807500,0.036441,28400
2002-07-23,6.750000,6.950000,6.750000,6.950000,0.037204,5040
2002-07-24,6.612500,6.612500,6.600000,6.605000,0.035357,4500
2002-07-25,6.997500,7.000000,6.997500,7.000000,0.037471,2800
2002-07-26,6.500000,6.500000,6.500000,6.500000,0.034795,2960
2002-07-29,6.500000,6.500000,6.500000,6.500000,0.226166,1420
2002-07-30,6.302500,6.302500,5.850000,5.900000,0.205289,18320
2002-07-31,null,null,null,null,null,null
2002-08-01,5.852500,5.852500,5.852500,5.852500,0.203637,3000
2002-08-02,null,null,null,null,null,null
2002-08-05,6.000000,6.300000,6.000000,6.300000,0.219207,500
2002-08-06,5.765000,5.922500,5.765000,5.922500,0.206072,400
2002-08-07,6.250000,6.250000,5.937500,5.937500,0.206594,2000
2002-08-08,null,null,null,null,null,null
2002-08-09,5.950000,5.950000,5.900000,5.915000,0.205811,1000
2002-08-12,5.900000,6.450000,5.755000,6.180000,0.215032,21920
2002-08-13,6.075000,6.075000,6.000000,6.000000,0.208769,4400
2002-08-14,6.250000,6.400000,5.925000,6.170000,0.214684,9000
2002-08-15,null,null,null,null,null,null
2002-08-16,null,null,null,null,null,null
2002-08-19,null,null,null,null,null,null
2002-08-20,5.905000,5.905000,5.850000,5.850000,0.203550,3000
2002-08-21,5.850000,6.395000,5.850000,5.910000,0.205637,11700
2002-08-22,5.862500,6.100000,5.755000,5.877500,0.204507,13000
2002-08-23,5.737500,5.897500,5.705000,5.765000,0.200592,5140
2002-08-26,5.650000,5.650000,5.650000,5.650000,0.196591,2000
2002-08-27,6.100000,6.140000,5.710000,5.800000,0.201810,16020
2002-08-28,5.602500,5.995000,5.602500,5.950000,0.207029,1240
2002-08-29,5.675000,5.925000,5.675000,5.750000,0.200070,8400
2002-08-30,5.760000,6.120000,5.752500,6.075000,0.211379,19500
2002-09-02,5.750000,6.125000,5.712500,6.087500,0.211813,8800
2002-09-03,5.782500,6.142500,5.480000,5.900000,0.205289,45000
2002-09-04,5.675000,6.125000,5.675000,6.125000,0.213118,4000
2002-09-05,null,null,null,null,null,null
2002-09-06,6.000000,6.175000,6.000000,6.147500,0.213901,2400
2002-09-09,5.750000,5.750000,5.750000,5.750000,0.200070,1000
2002-09-10,null,null,null,null,null,null
2002-09-11,5.910000,5.910000,5.575000,5.600000,0.194851,8000
2002-09-12,6.095000,6.095000,5.512500,5.532500,0.192502,6460
2002-09-13,null,null,null,null,null,null
2002-09-16,5.630000,5.630000,5.500000,5.550000,0.193111,3620
2002-09-17,5.515000,5.515000,5.512500,5.512500,0.191806,2000
2002-09-18,5.580000,5.620000,5.580000,5.620000,0.195547,6000
2002-09-19,6.022500,6.150000,5.750000,5.882500,0.204680,9940
2002-09-20,5.990000,5.990000,5.750000,5.900000,0.205289,10500
2002-09-23,null,null,null,null,null,null
2002-09-24,5.750000,5.895000,5.750000,5.850000,0.203550,10000
2002-09-25,5.850000,5.850000,5.662500,5.755000,0.200244,10000
2002-09-26,6.045000,6.045000,5.615000,5.615000,0.195373,2240
2002-09-27,5.750000,5.990000,5.750000,5.750000,0.200070,3120
2002-09-30,null,null,null,null,null,null
2002-10-01,5.505000,5.505000,5.500000,5.500000,0.191372,3840
2002-10-02,null,null,null,null,null,null
2002-10-03,5.850000,5.850000,5.360000,5.487500,0.190937,8380
2002-10-04,5.307500,5.925000,5.307500,5.450000,0.189632,4060
2002-10-07,5.450000,5.450000,5.450000,5.450000,0.189632,17600
2002-10-08,5.210000,5.247500,5.200000,5.240000,0.182325,70800
2002-10-09,5.200000,5.475000,5.200000,5.300000,0.184413,10000
2002-10-10,5.550000,5.550000,5.300000,5.425000,0.188762,6200
2002-10-11,5.255000,5.700000,5.255000,5.625000,0.195721,113340
2002-10-14,5.425000,5.725000,5.412500,5.415000,0.188414,12400
2002-10-15,null,null,null,null,null,null
2002-10-16,5.450000,5.450000,5.450000,5.450000,0.189632,2000
2002-10-17,5.825000,5.950000,5.600000,5.600000,0.194851,8740
2002-10-18,5.535000,5.925000,5.535000,5.925000,0.206159,9000
2002-10-21,5.510000,5.510000,5.510000,5.510000,0.191719,400
2002-10-22,null,null,null,null,null,null
2002-10-23,5.400000,5.650000,5.375000,5.472500,0.190415,20000
2002-10-24,5.700000,5.700000,5.310000,5.310000,0.184761,5600
2002-10-25,5.640000,5.685000,5.310000,5.460000,0.189980,16200
2002-10-28,5.425000,5.425000,5.425000,5.425000,0.188762,6000
2002-10-29,5.800000,5.800000,5.500000,5.750000,0.200070,4400
2002-10-30,null,null,null,null,null,null
2002-10-31,5.510000,5.510000,5.510000,5.510000,0.191719,1000
2002-11-01,5.647500,5.900000,5.450000,5.550000,0.193111,4500
2002-11-04,null,null,null,null,null,null
2002-11-05,5.825000,5.850000,5.825000,5.850000,0.203550,3000
2002-11-06,null,null,null,null,null,null
2002-11-07,5.837500,5.850000,5.537500,5.850000,0.203550,20400
2002-11-08,5.750000,5.875000,5.625000,5.800000,0.201810,16000
2002-11-11,5.825000,5.825000,5.825000,5.825000,0.202680,200
2002-11-12,5.790000,5.790000,5.565000,5.700000,0.198330,164000
2002-11-13,5.825000,5.995000,5.825000,5.852500,0.203637,9000
2002-11-14,5.850000,6.000000,5.750000,5.750000,0.200070,5020
2002-11-15,5.850000,5.850000,5.850000,5.850000,0.203550,2400
2002-11-18,null,null,null,null,null,null
2002-11-19,null,null,null,null,null,null
2002-11-20,5.750000,5.900000,5.750000,5.900000,0.205289,50160
2002-11-21,6.000000,6.060000,5.805000,5.825000,0.202680,117000
2002-11-22,null,null,null,null,null,null
2002-11-25,5.885000,5.885000,5.612500,5.612500,0.195286,20000
2002-11-26,5.840000,5.840000,5.560000,5.560000,0.193459,14000
2002-11-27,5.162500,6.100000,5.162500,6.000000,0.208769,13080
2002-11-28,6.000000,6.000000,6.000000,6.000000,0.208769,1000
2002-11-29,5.900000,6.025000,5.875000,5.880000,0.204594,9700
2002-12-02,5.900000,5.900000,5.800000,5.800000,0.201810,4500
2002-12-03,5.800000,6.140000,5.800000,6.140000,0.213640,11700
2002-12-04,6.345000,6.345000,5.680000,5.965000,0.207551,12140
2002-12-05,6.047500,6.460000,6.000000,6.317500,0.219816,132380
2002-12-06,6.950000,6.950000,6.175000,6.432500,0.223818,42980
2002-12-09,6.490000,6.490000,6.175000,6.300000,0.219207,42840
2002-12-10,6.267500,6.740000,6.252500,6.527500,0.227123,97140
2002-12-11,6.850000,7.175000,6.550000,6.970000,0.242520,203720
2002-12-12,7.300000,7.550000,7.010000,7.052500,0.245390,331900
2002-12-13,7.202500,7.347500,6.670000,6.747500,0.234778,155960
2002-12-16,6.750000,7.000000,6.507500,6.710000,0.233473,36560
2002-12-17,6.535000,6.632500,6.400000,6.450000,0.224427,13800
2002-12-18,6.745000,6.750000,6.527500,6.685000,0.232603,19100
2002-12-19,6.770000,6.770000,6.400000,6.600000,0.229646,17940
2002-12-20,6.375000,6.490000,6.300000,6.310000,0.219555,51380
2002-12-23,6.300000,6.315000,6.175000,6.242500,0.217207,29100
2002-12-24,6.400000,6.562500,6.300000,6.300000,0.219207,51000
2002-12-25,null,null,null,null,null,null
2002-12-26,6.400000,6.450000,6.175000,6.257500,0.217729,33560
2002-12-27,6.255000,6.255000,6.250000,6.250000,0.217468,7500
2002-12-30,6.150000,6.150000,6.107500,6.107500,0.212509,11900
2002-12-31,6.002500,6.715000,6.000000,6.682500,0.232516,233740
2003-01-01,6.585000,6.800000,6.582500,6.680000,0.232429,99620
2003-01-02,6.575000,6.575000,6.357500,6.422500,0.223470,22440
2003-01-03,6.450000,6.800000,6.450000,6.770000,0.235561,46140
2003-01-06,6.797500,6.800000,6.625000,6.757500,0.235126,52820
2003-01-07,6.562500,6.700000,6.562500,6.655000,0.231560,16300
2003-01-08,6.700000,6.785000,6.700000,6.737500,0.234430,65620
2003-01-09,6.750000,7.340000,6.750000,7.150000,0.248783,198380
2003-01-10,7.150000,7.302500,6.930000,6.995000,0.243390,66700
2003-01-13,6.765000,7.040000,6.765000,7.040000,0.244956,1620
2003-01-14,7.217500,7.450000,6.742500,7.387500,0.257047,252560
2003-01-15,7.547500,7.680000,7.075000,7.260000,0.252610,221460
