Date,Open,High,Low,Close,Adj Close,Volume
2013-04-01,159.949997,175.899994,158.000000,161.800003,157.532211,7902123
2013-04-02,164.000000,176.399994,163.149994,174.250000,169.653809,786420
2013-04-03,179.000000,179.000000,170.500000,171.550003,167.025024,347423
2013-04-04,172.000000,173.449997,169.149994,170.850006,166.343506,72842
2013-04-05,170.850006,173.850006,169.600006,172.449997,167.901306,46510
2013-04-08,175.000000,175.000000,170.000000,173.899994,169.313049,216898
2013-04-09,173.300003,174.750000,171.000000,171.350006,166.830292,13703
2013-04-10,171.199997,173.899994,169.000000,171.649994,167.122375,58029
2013-04-11,173.000000,173.000000,167.000000,168.300003,163.860764,21009
2013-04-12,168.000000,172.000000,166.100006,170.550003,166.051392,15542
2013-04-15,170.250000,172.000000,167.800003,171.850006,167.317123,188513
2013-04-16,171.399994,172.000000,169.100006,171.149994,166.635559,35269
2013-04-17,171.550003,172.300003,168.000000,169.750000,165.272507,312019
2013-04-18,169.949997,171.800003,169.000000,170.649994,166.148743,17425
2013-04-22,172.399994,173.300003,168.300003,168.750000,164.298874,17107
2013-04-23,171.949997,173.000000,168.649994,169.449997,164.980408,16237
2013-04-25,169.850006,171.000000,168.000000,168.100006,163.666016,16586
2013-04-26,166.000000,171.000000,165.149994,170.699997,166.197464,287777
2013-04-29,169.000000,176.000000,169.000000,173.050003,168.485458,26285
2013-04-30,171.050003,174.000000,170.000000,170.899994,166.392181,4645
2013-05-02,172.000000,174.000000,170.800003,172.750000,168.193375,69441
2013-05-03,173.949997,173.949997,170.199997,171.949997,167.414490,23542
2013-05-06,174.000000,175.000000,172.550003,174.300003,169.702515,18602
2013-05-07,174.949997,176.000000,173.100006,175.300003,170.676132,35191
2013-05-08,175.000000,179.399994,174.000000,177.100006,172.428635,19369
2013-05-09,177.949997,184.000000,177.500000,181.250000,176.469177,63439
2013-05-10,182.000000,198.399994,182.000000,187.350006,182.408264,136776
2013-05-13,199.899994,199.899994,192.500000,194.250000,189.126266,62436
2013-05-14,196.800003,198.000000,195.000000,195.949997,190.781433,21384
2013-05-15,198.449997,203.800003,185.000000,202.050003,196.720535,459618
2013-05-16,201.000000,224.000000,201.000000,205.649994,200.225555,113507
2013-05-17,207.899994,210.399994,204.949997,209.699997,204.168732,37124
2013-05-20,213.850006,215.000000,209.050003,211.350006,205.775238,79915
2013-05-21,216.899994,217.949997,200.000000,208.899994,203.389847,30897
2013-05-22,203.500000,213.000000,203.500000,207.949997,202.464920,69544
2013-05-23,209.500000,209.500000,203.000000,206.300003,200.858429,18954
2013-05-24,206.600006,227.000000,206.000000,214.550003,208.890808,42778
2013-05-27,215.000000,219.800003,207.000000,213.449997,207.819839,13399
2013-05-28,213.399994,221.949997,213.399994,218.350006,212.590591,119357
2013-05-29,225.000000,225.000000,218.100006,219.800003,214.002365,30433
2013-05-30,217.000000,225.350006,213.149994,219.550003,213.758926,23229
2013-05-31,217.550003,220.000000,214.949997,215.350006,209.669739,74660
2013-06-03,216.149994,225.000000,215.100006,216.949997,211.227493,16197
2013-06-04,219.350006,220.050003,216.550003,218.649994,212.882675,26378
2013-06-05,218.500000,223.899994,218.500000,219.250000,213.466858,38785
2013-06-06,221.000000,221.699997,214.000000,214.949997,209.280243,56181
2013-06-07,216.949997,217.899994,208.649994,210.300003,204.752945,19392
2013-06-10,212.050003,216.600006,210.000000,214.750000,209.085526,3609
2013-06-11,214.500000,214.500000,202.949997,205.699997,200.274246,64187
2013-06-12,206.000000,218.949997,203.500000,211.750000,206.164673,21818
2013-06-13,213.750000,214.750000,207.300003,209.649994,204.120071,17247
2013-06-14,212.949997,215.500000,209.949997,215.149994,209.474976,9559
2013-06-17,209.300003,222.750000,209.300003,220.149994,214.343094,23620
2013-06-18,221.000000,221.000000,210.000000,211.600006,206.018616,36426
2013-06-19,212.000000,218.050003,209.000000,211.199997,205.629166,21148
2013-06-20,210.149994,215.000000,209.600006,211.800003,206.213379,340899
2013-06-21,209.649994,213.699997,205.000000,213.149994,207.527756,291777
2013-06-24,216.000000,216.000000,209.000000,210.350006,204.801620,15968
2013-06-25,217.000000,217.000000,207.949997,211.750000,206.164673,8966
2013-06-26,212.000000,216.899994,210.000000,212.800003,207.186996,6412
2013-06-27,215.949997,220.399994,212.500000,219.250000,213.466858,11932
2013-06-28,219.949997,234.000000,219.000000,229.949997,223.884628,61380
2013-07-01,235.899994,268.899994,235.899994,248.100006,241.555847,163234
2013-07-02,250.000000,251.850006,247.149994,248.899994,242.334763,145475
2013-07-03,249.000000,278.600006,248.000000,255.399994,248.663315,126372
2013-07-04,259.850006,264.000000,254.000000,254.750000,248.030487,26442
2013-07-05,257.000000,270.399994,257.000000,259.600006,252.752548,51501
2013-07-08,263.000000,270.000000,256.000000,264.149994,257.182526,80837
2013-07-09,269.600006,286.399994,267.799988,278.850006,271.494781,107267
2013-07-10,285.850006,295.000000,270.000000,277.350006,270.034393,115311
2013-07-11,285.399994,286.649994,271.750000,274.700012,267.454285,29792
2013-07-12,275.850006,280.799988,273.000000,277.299988,269.985657,35771
2013-07-15,280.000000,288.000000,277.100006,278.950012,271.592194,90502
2013-07-16,278.700012,285.000000,276.000000,277.500000,270.180389,68532
2013-07-17,278.149994,281.450012,272.500000,274.299988,267.064789,113080
2013-07-18,277.850006,288.000000,276.149994,282.649994,275.194519,204665
2013-07-19,285.000000,292.899994,278.100006,279.250000,271.884247,41572
2013-07-22,284.000000,284.000000,278.750000,280.450012,273.052551,27683
2013-07-23,284.549988,298.799988,282.049988,291.250000,283.567688,56740
2013-07-24,295.000000,296.000000,281.799988,286.000000,278.456146,34629
2013-07-25,282.500000,286.850006,272.000000,273.600006,266.383270,34404
2013-07-26,276.649994,281.000000,260.549988,269.899994,262.780884,35096
2013-07-29,272.750000,275.799988,258.149994,267.200012,260.152069,26711
2013-07-30,277.850006,277.850006,261.000000,261.600006,254.699799,12507
2013-07-31,259.950012,260.000000,252.100006,253.000000,246.326614,90733
2013-08-01,258.700012,260.000000,250.500000,253.699997,247.008163,23282
2013-08-02,254.000000,256.549988,243.000000,244.949997,238.488968,26344
2013-08-05,247.000000,259.850006,237.300003,257.149994,250.367157,48357
2013-08-06,259.000000,280.000000,256.000000,258.899994,252.071030,68590
2013-08-07,260.049988,268.049988,250.000000,259.100006,252.265717,34595
2013-08-08,261.000000,263.950012,253.100006,255.300003,248.565948,31452
2013-08-12,255.000000,260.950012,245.250000,252.949997,246.277939,13786
2013-08-13,252.149994,258.000000,250.750000,251.199997,244.574097,10797
2013-08-14,253.050003,257.000000,252.199997,255.250000,248.517288,2641
2013-08-16,256.450012,258.000000,250.000000,251.050003,244.428055,8761
2013-08-19,252.050003,252.050003,201.000000,236.500000,230.261841,200490
2013-08-20,236.949997,238.000000,231.550003,236.899994,230.651291,34087
2013-08-21,243.949997,252.649994,231.899994,234.550003,228.363297,13351
2013-08-22,243.000000,243.000000,227.500000,236.350006,230.115799,11986
2013-08-23,235.100006,237.899994,232.000000,233.750000,227.584366,9985
2013-08-26,236.949997,244.350006,230.000000,234.050003,227.876495,12969
2013-08-27,236.050003,238.350006,225.000000,228.500000,222.472870,34650
2013-08-28,226.000000,238.500000,221.100006,231.000000,224.906937,47545
2013-08-29,229.000000,233.699997,222.100006,228.199997,222.180786,4501
2013-08-30,230.149994,230.149994,224.000000,228.449997,222.424164,3445
2013-09-02,231.000000,240.750000,231.000000,235.649994,229.434250,9330
2013-09-03,235.050003,236.500000,227.100006,230.600006,224.517487,6236
2013-09-04,231.050003,235.000000,228.800003,233.449997,228.381699,7156
2013-09-05,233.699997,241.000000,233.699997,238.649994,233.468826,13807
2013-09-06,242.899994,243.000000,225.300003,240.850006,235.621063,12168
2013-09-10,240.050003,242.800003,236.000000,237.800003,232.637283,23937
2013-09-11,238.500000,254.000000,238.500000,247.000000,241.637543,14988
2013-09-12,245.000000,246.000000,239.000000,240.600006,235.376480,23659
2013-09-13,245.000000,245.000000,236.649994,242.500000,237.235229,6407
2013-09-16,243.550003,245.000000,237.000000,238.600006,233.419907,10913
2013-09-17,245.800003,264.850006,236.600006,237.949997,232.784012,3805
2013-09-18,239.050003,242.949997,237.500000,238.850006,233.664474,13368
2013-09-19,244.000000,251.399994,242.000000,246.250000,240.903824,14576
2013-09-20,246.000000,246.850006,236.600006,238.699997,233.517731,6417
2013-09-23,240.050003,245.449997,237.399994,238.350006,233.175354,4443
2013-09-24,238.750000,243.800003,238.250000,240.500000,235.278656,6475
2013-09-25,243.850006,243.899994,238.199997,241.149994,235.914536,5508
2013-09-26,242.000000,243.000000,239.100006,240.500000,235.278656,903
2013-09-27,241.000000,245.000000,241.000000,242.850006,237.577652,2907
2013-09-30,243.000000,263.850006,238.000000,251.350006,245.893112,20117
2013-10-01,255.000000,257.000000,243.300003,246.750000,241.392960,4709
2013-10-03,252.850006,252.949997,247.000000,252.000000,246.528976,5623
2013-10-04,252.149994,269.500000,252.000000,261.399994,255.724899,10633
2013-10-07,265.000000,270.000000,259.100006,262.649994,256.947754,3937
2013-10-08,260.000000,265.899994,260.000000,264.549988,258.806488,3896
2013-10-09,260.100006,272.000000,260.100006,270.049988,264.187073,8679
2013-10-10,272.100006,273.799988,266.549988,269.950012,264.089294,3142
2013-10-11,275.000000,275.000000,265.549988,271.200012,265.312134,7405
2013-10-14,272.000000,276.000000,263.049988,265.700012,259.931580,5260
