Date,Open,High,Low,Close,Adj Close,Volume
2009-10-30,45.049999,45.049999,35.349998,39.500000,39.500000,173896700
2009-11-03,38.000000,39.150002,31.650000,34.200001,34.200001,25111500
2009-11-04,34.700001,35.250000,33.500000,33.799999,33.799999,13446800
2009-11-05,33.900002,33.900002,32.049999,32.599998,32.599998,10906300
2009-11-06,33.000000,36.349998,32.750000,34.700001,34.700001,26854900
2009-11-09,35.049999,35.250000,34.000000,34.299999,34.299999,5865400
2009-11-10,34.900002,34.900002,33.700001,34.099998,34.099998,9226400
2009-11-11,34.400002,34.900002,33.400002,34.650002,34.650002,7680400
2009-11-12,34.750000,35.599998,34.400002,35.099998,35.099998,5178400
2009-11-13,35.250000,36.200001,34.900002,35.150002,35.150002,13576900
2009-11-16,35.500000,35.650002,34.400002,34.599998,34.599998,3479800
2009-11-17,34.799999,34.900002,34.099998,34.250000,34.250000,4764600
2009-11-18,34.450001,34.599998,34.000000,34.099998,34.099998,3981400
2009-11-19,34.250000,34.299999,33.150002,33.650002,33.650002,3565600
2009-11-20,33.500000,33.650002,32.849998,33.150002,33.150002,1832800
2009-11-23,33.250000,33.450001,32.849998,33.099998,33.099998,1970800
2009-11-24,33.099998,33.150002,32.099998,32.549999,32.549999,2144200
2009-11-25,32.549999,33.099998,32.200001,32.549999,32.549999,3719800
2009-11-26,32.450001,32.900002,32.349998,32.500000,32.500000,3635200
2009-11-27,32.000000,33.000000,30.600000,32.549999,32.549999,8625900
2009-11-30,32.700001,33.900002,31.799999,32.950001,32.950001,11438100
2009-12-01,33.299999,33.500000,32.700001,32.849998,32.849998,4093800
2009-12-02,33.000000,33.549999,32.549999,32.750000,32.750000,5342700
2009-12-03,33.000000,33.450001,32.849998,32.950001,32.950001,5905500
2009-12-04,33.000000,33.299999,32.599998,33.000000,33.000000,2393000
2009-12-07,33.200001,33.450001,32.799999,32.849998,32.849998,4376600
2009-12-08,32.900002,33.250000,32.250000,33.049999,33.049999,5725800
2009-12-09,32.900002,34.400002,32.700001,33.450001,33.450001,5077100
2009-12-10,33.400002,33.500000,32.849998,33.099998,33.099998,4479700
2009-12-11,33.299999,34.200001,32.400002,33.599998,33.599998,6976100
2009-12-14,33.299999,33.599998,32.900002,33.099998,33.099998,1821100
2009-12-15,33.000000,33.849998,32.599998,32.950001,32.950001,4711500
2009-12-16,32.950001,34.549999,32.700001,34.299999,34.299999,6736600
2009-12-17,34.099998,34.400002,33.349998,33.599998,33.599998,5494000
2009-12-18,33.500000,33.700001,33.049999,33.500000,33.500000,2967500
2009-12-21,34.299999,34.299999,33.200001,33.450001,33.450001,1987900
2009-12-22,33.549999,33.750000,32.799999,32.900002,32.900002,1539200
2009-12-23,null,null,null,null,null,null
2009-12-24,null,null,null,null,null,null
2009-12-29,null,null,null,null,null,null
2009-12-30,null,null,null,null,null,null
2009-12-31,null,null,null,null,null,null
2010-01-04,35.400002,36.200001,33.200001,35.799999,35.799999,3848300
2010-01-05,36.500000,39.099998,35.750000,37.849998,37.849998,14896700
2010-01-06,38.200001,38.700001,37.250000,37.450001,37.450001,5116800
2010-01-07,37.650002,38.200001,37.049999,37.650002,37.650002,2594500
2010-01-08,37.650002,38.000000,36.450001,36.599998,36.599998,1943600
2010-01-11,36.900002,38.200001,36.799999,37.150002,37.150002,3526700
2010-01-12,37.500000,37.500000,35.500000,35.650002,35.650002,3112300
2010-01-13,34.599998,36.150002,34.599998,35.900002,35.900002,1101600
2010-01-14,35.750000,36.750000,35.750000,36.549999,36.549999,1351800
2010-01-15,36.750000,36.950001,36.250000,36.349998,36.349998,1156200
2010-01-18,36.349998,36.549999,35.750000,35.849998,35.849998,862467
2010-01-19,35.549999,36.150002,35.549999,35.650002,35.650002,905139
2010-01-20,35.750000,36.950001,35.500000,35.700001,35.700001,2128347
2010-01-21,35.650002,35.799999,34.000000,34.250000,34.250000,1568277
2010-01-22,33.099998,34.450001,33.099998,33.500000,33.500000,3150102
2010-01-25,33.500000,34.049999,33.400002,33.549999,33.549999,965765
2010-01-27,33.549999,33.700001,31.750000,32.099998,32.099998,2437467
2010-01-28,32.400002,33.150002,31.950001,32.099998,32.099998,2493903
2010-01-29,32.000000,33.150002,31.100000,32.900002,32.900002,5001884
2010-02-01,32.500000,33.049999,32.150002,32.349998,32.349998,2936429
2010-02-02,32.849998,33.000000,31.400000,31.750000,31.750000,3001335
2010-02-03,31.900000,33.200001,31.600000,32.750000,32.750000,3615657
2010-02-04,32.049999,32.750000,32.049999,32.500000,32.500000,2065329
2010-02-05,31.900000,32.250000,31.100000,31.750000,31.750000,2300656
2010-02-06,null,null,null,null,null,null
2010-02-08,31.100000,32.450001,31.100000,31.450001,31.450001,2061383
2010-02-09,31.549999,32.099998,31.350000,31.500000,31.500000,1997923
2010-02-10,31.700001,31.850000,31.250000,31.299999,31.299999,2260967
2010-02-11,31.500000,31.900000,31.100000,31.200001,31.200001,3866837
2010-02-15,31.400000,31.400000,30.700001,30.850000,30.850000,1504611
2010-02-16,31.000000,31.000000,30.600000,30.799999,30.799999,1329610
2010-02-17,31.000000,31.299999,30.500000,30.549999,30.549999,3273231
2010-02-18,30.650000,31.100000,30.400000,30.799999,30.799999,2590682
2010-02-19,30.650000,30.650000,30.049999,30.150000,30.150000,1247252
2010-02-22,30.750000,30.750000,29.450001,29.600000,29.600000,3783568
2010-02-23,29.299999,29.700001,29.299999,29.600000,29.600000,2548877
2010-02-24,29.350000,29.700001,29.150000,29.450001,29.450001,2301153
2010-02-25,29.549999,29.600000,28.799999,28.950001,28.950001,2345576
2010-02-26,29.299999,30.299999,28.549999,29.299999,29.299999,5678487
2010-03-02,29.600000,30.450001,29.500000,29.950001,29.950001,2073562
2010-03-03,30.150000,30.799999,29.950001,30.200001,30.200001,1909235
2010-03-04,30.200001,30.299999,28.950001,29.299999,29.299999,3564306
2010-03-05,29.600000,29.900000,29.350000,29.450001,29.450001,3495001
2010-03-08,29.850000,30.250000,29.350000,29.500000,29.500000,3192456
2010-03-09,29.549999,29.750000,29.049999,29.150000,29.150000,1249076
2010-03-10,29.400000,29.400000,28.900000,29.100000,29.100000,1259896
2010-03-11,29.049999,30.400000,29.049999,30.200001,30.200001,3289327
2010-03-12,30.250000,30.299999,29.500000,29.600000,29.600000,1625835
2010-03-15,29.600000,29.850000,29.100000,29.400000,29.400000,1039544
2010-03-16,29.400000,30.250000,29.250000,30.049999,30.049999,1727404
2010-03-17,30.299999,30.750000,29.700001,29.799999,29.799999,4180374
2010-03-18,29.850000,30.000000,29.500000,29.650000,29.650000,920955
2010-03-19,29.700001,29.850000,29.000000,29.150000,29.150000,1507997
2010-03-22,28.799999,29.500000,28.700001,29.049999,29.049999,2413752
2010-03-23,29.200001,29.400000,28.900000,29.000000,29.000000,1821343
2010-03-25,28.900000,29.000000,28.750000,28.799999,28.799999,869921
2010-03-26,29.000000,29.299999,28.700001,28.850000,28.850000,1882745
2010-03-29,28.850000,29.900000,28.850000,29.600000,29.600000,2201341
2010-03-30,29.750000,31.200001,29.500000,30.350000,30.350000,2947465
2010-03-31,30.500000,31.250000,30.000000,30.750000,30.750000,4184175
2010-04-01,30.900000,31.250000,30.600000,30.799999,30.799999,844739
2010-04-05,31.000000,32.349998,30.900000,31.700001,31.700001,2386637
2010-04-06,32.049999,32.200001,30.400000,30.700001,30.700001,2091385
2010-04-07,31.500000,31.799999,30.650000,30.750000,30.750000,3636803
2010-04-08,30.799999,31.250000,30.100000,30.250000,30.250000,2237345
2010-04-09,30.500000,31.100000,30.049999,30.700001,30.700001,4063763
2010-04-12,30.850000,31.200001,30.400000,30.600000,30.600000,2627636
2010-04-13,30.549999,30.700001,29.850000,30.299999,30.299999,2291032
2010-04-15,30.500000,30.799999,29.650000,29.799999,29.799999,2015869
2010-04-16,29.799999,30.400000,29.650000,30.150000,30.150000,1452265
2010-04-19,29.850000,30.000000,29.650000,29.700001,29.700001,1498190
2010-04-20,29.950001,29.950001,29.400000,29.500000,29.500000,1889986
2010-04-21,29.500000,30.299999,29.500000,29.799999,29.799999,1558780
2010-04-22,29.950001,30.350000,29.700001,29.799999,29.799999,1341758
2010-04-23,29.850000,30.000000,29.500000,29.600000,29.600000,1699613
2010-04-26,29.900000,29.900000,29.250000,29.500000,29.500000,1504531
2010-04-27,29.500000,29.500000,29.250000,29.250000,29.250000,812169
2010-04-28,29.500000,29.799999,28.850000,29.200001,29.200001,1603928
2010-04-29,28.900000,29.500000,28.900000,29.049999,29.049999,1526381
2010-04-30,29.150000,30.600000,29.000000,30.150000,30.150000,3721844
2010-05-03,29.950001,31.600000,29.750000,31.100000,31.100000,5021656
2010-05-04,31.500000,31.500000,29.850000,30.299999,30.299999,1833620
2010-05-05,29.650000,30.950001,29.200001,30.700001,30.700001,4388214
2010-05-06,30.700001,32.549999,30.100000,31.700001,31.700001,6657153
2010-05-07,31.000000,31.100000,29.700001,30.049999,30.049999,6585661
2010-05-10,30.250000,30.700001,30.150000,30.350000,30.350000,1222931
