Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,8.040000,8.780000,8.040000,8.560000,0.817675,103565
2002-07-02,8.500000,9.000000,8.400000,8.940000,0.853974,73155
2002-07-03,8.820000,9.380000,8.610000,9.200000,0.878810,57875
2002-07-04,9.500000,10.000000,9.430000,9.830000,0.938989,55745
2002-07-05,10.400000,10.800000,9.620000,10.490000,1.002034,110625
2002-07-08,10.600000,11.200000,10.100000,10.210000,0.975288,39915
2002-07-09,10.600000,10.650000,9.500000,10.030000,0.958094,41135
2002-07-10,9.480000,9.600000,9.200000,9.420000,0.899825,27165
2002-07-11,9.700000,9.700000,8.720000,9.200000,1.007103,41585
2002-07-12,9.420000,9.600000,9.020000,9.020000,0.987399,46790
2002-07-15,8.810000,9.000000,8.500000,8.500000,0.930476,24345
2002-07-16,8.570000,8.600000,8.080000,8.080000,0.884499,75135
2002-07-17,8.880000,8.880000,7.700000,7.990000,0.874647,20085
2002-07-18,8.180000,8.470000,8.050000,8.180000,0.895446,6820
2002-07-19,8.200000,8.200000,7.800000,7.820000,0.856038,64865
2002-07-22,8.000000,8.300000,7.650000,8.000000,0.875742,92200
2002-07-23,8.000000,8.140000,7.700000,7.800000,0.853848,92755
2002-07-24,7.780000,7.800000,7.400000,7.410000,0.811156,24770
2002-07-25,7.800000,7.900000,7.610000,7.690000,0.841807,24950
2002-07-26,7.300000,7.500000,7.000000,7.030000,0.769558,12025
2002-07-29,6.820000,6.820000,6.400000,6.560000,0.718108,25880
2002-07-30,6.410000,6.410000,6.220000,6.240000,0.683079,7510
2002-07-31,5.840000,6.500000,5.700000,6.210000,0.679795,46580
2002-08-01,6.210000,6.210000,6.000000,6.000000,0.656806,8975
2002-08-02,5.840000,6.100000,5.810000,6.050000,0.662280,5820
2002-08-05,6.200000,6.480000,6.100000,6.480000,0.709351,1760
2002-08-06,6.110000,6.580000,6.110000,6.140000,0.672132,780
2002-08-07,6.600000,6.610000,6.440000,6.600000,0.722487,15950
2002-08-08,6.420000,6.420000,6.410000,6.420000,0.702783,1415
2002-08-09,6.100000,6.250000,6.100000,6.210000,0.679795,1000
2002-08-12,6.240000,6.750000,6.240000,6.750000,0.738907,1385
2002-08-13,6.640000,6.660000,6.640000,6.660000,0.729055,750
2002-08-14,6.440000,6.780000,6.440000,6.780000,0.742191,1000
2002-08-15,null,null,null,null,null,null
2002-08-16,6.720000,6.960000,6.240000,6.640000,0.726866,77955
2002-08-19,6.500000,6.800000,6.260000,6.350000,0.695120,66240
2002-08-20,6.550000,6.550000,6.020000,6.040000,0.661185,8130
2002-08-21,5.460000,6.500000,5.460000,6.390000,0.699499,2185
2002-08-22,6.120000,6.150000,6.110000,6.140000,0.672132,2750
2002-08-23,6.240000,6.240000,6.070000,6.120000,0.669943,9250
2002-08-26,6.200000,6.200000,6.190000,6.190000,0.677605,7750
2002-08-27,6.150000,6.150000,6.000000,6.130000,0.671037,3750
2002-08-28,5.600000,6.100000,5.600000,6.100000,0.667753,3745
2002-08-29,5.800000,6.000000,5.800000,6.000000,0.656806,1880
2002-08-30,6.200000,6.400000,6.060000,6.080000,0.665564,2380
2002-09-02,6.100000,6.120000,6.100000,6.110000,0.668848,6500
2002-09-03,5.820000,5.820000,5.820000,5.820000,0.637102,60
2002-09-04,5.700000,6.050000,5.700000,6.020000,0.658996,1855
2002-09-05,6.100000,6.200000,6.100000,6.190000,0.677605,1750
2002-09-06,6.200000,6.200000,5.950000,5.980000,0.654617,6005
2002-09-09,5.800000,6.000000,5.800000,6.000000,0.656806,1000
2002-09-10,null,null,null,null,null,null
2002-09-11,5.670000,5.670000,5.670000,5.670000,0.620682,380
2002-09-12,6.000000,6.000000,6.000000,6.000000,0.656806,1000
2002-09-13,5.850000,6.140000,5.850000,6.140000,0.672132,1620
2002-09-16,5.890000,5.900000,5.890000,5.900000,0.645860,11525
2002-09-17,5.660000,5.680000,5.660000,5.670000,0.620682,1020
2002-09-18,6.120000,6.120000,5.800000,5.800000,0.634913,980
2002-09-19,5.800000,5.800000,5.650000,5.800000,0.634913,750
2002-09-20,5.790000,5.800000,5.790000,5.790000,0.633818,500
2002-09-23,5.450000,5.880000,5.420000,5.590000,0.611925,5455
2002-09-24,null,null,null,null,null,null
2002-09-25,5.320000,5.750000,5.320000,5.750000,0.629440,2870
2002-09-26,5.700000,5.700000,5.600000,5.650000,0.618493,2100
2002-09-27,5.720000,5.750000,5.520000,5.520000,0.604262,1500
2002-09-30,5.400000,5.400000,5.400000,5.400000,0.591126,250
2002-10-01,5.520000,5.700000,5.520000,5.690000,0.622872,885
2002-10-02,null,null,null,null,null,null
2002-10-03,null,null,null,null,null,null
2002-10-04,5.560000,5.800000,5.550000,5.800000,0.634913,930
2002-10-07,5.800000,5.850000,5.800000,5.850000,0.640386,815
2002-10-08,5.800000,5.900000,5.800000,5.900000,0.645860,2000
2002-10-09,6.000000,6.000000,6.000000,6.000000,0.656806,250
2002-10-10,null,null,null,null,null,null
2002-10-11,6.000000,6.000000,5.860000,5.860000,0.641481,3750
2002-10-14,5.860000,5.860000,5.860000,5.860000,0.641481,635
2002-10-15,null,null,null,null,null,null
2002-10-16,6.080000,6.140000,5.950000,5.950000,0.651333,1885
2002-10-17,5.880000,6.200000,5.880000,6.140000,0.672132,7155
2002-10-18,5.980000,6.300000,5.950000,6.200000,0.678700,2290
2002-10-21,6.330000,6.820000,6.330000,6.630000,0.725771,16830
2002-10-22,6.720000,6.720000,6.300000,6.300000,0.689647,3280
2002-10-23,6.700000,6.700000,6.230000,6.240000,0.683079,2950
2002-10-24,6.040000,6.400000,6.040000,6.370000,0.697310,630
2002-10-25,6.150000,6.160000,6.150000,6.160000,0.674321,120
2002-10-28,6.400000,6.400000,6.300000,6.300000,0.689647,1500
2002-10-29,6.220000,6.220000,6.220000,6.220000,0.680889,500
2002-10-30,6.200000,6.480000,6.200000,6.400000,0.700594,1640
2002-10-31,6.450000,6.450000,6.450000,6.450000,0.706067,500
2002-11-01,6.500000,6.500000,6.500000,6.500000,0.711541,250
2002-11-04,null,null,null,null,null,null
2002-11-05,6.250000,6.380000,6.250000,6.380000,0.698404,1500
2002-11-06,null,null,null,null,null,null
2002-11-07,6.230000,6.230000,6.230000,6.230000,0.681984,130
2002-11-08,6.080000,6.190000,6.050000,6.190000,0.677605,1850
2002-11-11,6.190000,6.190000,5.640000,5.750000,0.629440,1270
2002-11-12,6.000000,6.150000,5.800000,5.800000,0.634913,1500
2002-11-13,5.920000,6.140000,5.920000,5.930000,0.649144,1625
2002-11-14,6.080000,6.100000,5.920000,5.930000,0.649144,2610
2002-11-15,6.000000,6.360000,5.960000,5.960000,0.652428,2000
2002-11-18,6.360000,6.360000,5.930000,5.990000,0.655712,14725
2002-11-19,null,null,null,null,null,null
2002-11-20,6.100000,6.190000,5.900000,5.960000,0.652428,14590
2002-11-21,6.000000,6.090000,5.980000,6.000000,0.656806,4265
2002-11-22,6.050000,6.050000,5.930000,5.950000,0.651333,5680
2002-11-25,6.000000,6.040000,5.940000,6.000000,0.656806,2885
2002-11-26,6.380000,6.380000,6.050000,6.050000,0.662280,1030
2002-11-27,6.180000,6.180000,6.100000,6.150000,0.673227,4160
2002-11-28,6.200000,6.200000,6.050000,6.050000,0.662280,2265
2002-11-29,6.300000,6.380000,6.200000,6.240000,0.683079,5840
2002-12-02,6.400000,6.500000,6.200000,6.200000,0.678700,28400
