Date,Open,High,Low,Close,Adj Close,Volume
2012-06-18,17.299999,17.299999,17.299999,17.299999,15.107038,528
2012-06-19,16.900000,18.150000,16.549999,17.750000,15.499996,34
2012-06-20,18.250000,18.250000,17.500000,17.500000,15.281686,161
2012-06-21,17.750000,18.000000,17.750000,18.000000,15.718303,307
2012-06-22,17.500000,18.250000,17.400000,18.250000,15.936616,469
2012-06-25,18.250000,18.250000,18.250000,18.250000,15.936616,200
2012-06-26,18.500000,19.200001,18.500000,18.500000,16.154928,1252
2012-06-27,19.100000,19.900000,18.750000,19.200001,16.766191,1441
2012-06-28,19.900000,20.000000,19.299999,19.750000,17.246473,2503
2012-06-29,19.549999,20.600000,19.549999,20.549999,17.945065,2279
2012-07-02,21.850000,21.850000,19.450001,20.100000,17.552109,878
2012-07-03,19.000000,22.000000,18.700001,21.000000,18.338024,2834
2012-07-04,21.000000,21.000000,20.200001,20.900000,18.250702,404
2012-07-05,21.500000,22.400000,21.450001,22.049999,19.254921,2199
2012-07-06,21.100000,22.000000,21.000000,22.000000,19.211264,5406
2012-07-09,21.950001,21.950001,21.000000,21.700001,18.949291,1251
2012-07-10,20.700001,21.600000,20.700001,20.700001,18.076050,51
2012-07-11,21.000000,21.000000,20.400000,20.400000,17.814079,878
2012-07-12,21.400000,21.549999,20.400000,20.450001,17.857742,51
2012-07-13,20.600000,21.250000,20.600000,20.850000,18.207037,670
2012-07-16,20.600000,21.200001,20.200001,21.000000,18.338024,852
2012-07-17,20.500000,20.850000,20.250000,20.750000,18.119713,1377
2012-07-18,20.350000,20.750000,20.000000,20.400000,17.814079,2967
2012-07-19,20.200001,20.750000,20.150000,20.450001,17.857742,1459
2012-07-20,19.750000,20.750000,19.750000,19.799999,17.290134,95
2012-07-23,19.549999,19.700001,19.200001,19.200001,16.766191,99
2012-07-24,19.200001,19.200001,19.200001,19.200001,16.766191,0
2012-07-25,18.299999,19.750000,18.299999,19.750000,17.246473,402
2012-07-26,18.500000,19.950001,18.500000,19.950001,17.421122,163
2012-07-27,19.950001,20.150000,19.049999,19.049999,16.635206,704
2012-07-30,18.549999,19.900000,18.200001,18.299999,15.980278,2300
2012-07-31,19.750000,20.100000,19.500000,20.100000,17.552109,2636
2012-08-01,20.049999,20.799999,20.000000,20.150000,17.595772,2054
2012-08-02,19.650000,20.900000,19.650000,20.850000,18.207037,3027
2012-08-03,21.100000,21.600000,20.900000,21.400000,18.687319,2706
2012-08-06,21.000000,23.000000,21.000000,22.799999,19.909855,7926
2012-08-07,22.950001,23.900000,21.500000,23.700001,20.695768,9705
2012-08-08,23.200001,24.000000,23.000000,23.049999,20.128162,3713
2012-08-09,23.000000,23.799999,23.000000,23.500000,20.521120,3715
2012-08-10,23.049999,24.250000,23.049999,23.700001,20.695768,9791
2012-08-13,23.500000,23.850000,23.000000,23.500000,20.521120,2564
2012-08-14,23.900000,24.900000,23.500000,24.250000,21.176050,20853
2012-08-16,24.250000,25.500000,24.250000,25.100000,21.918301,11569
2012-08-17,24.900000,24.900000,24.000000,24.049999,21.001402,2958
2012-08-21,23.049999,24.700001,23.049999,24.500000,21.394360,262
2012-08-22,23.549999,24.500000,23.549999,23.549999,20.564785,1336
2012-08-23,23.049999,24.250000,23.049999,24.250000,21.176050,201
2012-08-24,23.250000,23.299999,23.250000,23.299999,20.346472,501
2012-08-27,22.200001,23.049999,22.200001,22.750000,19.866192,2959
2012-08-28,22.600000,23.150000,22.600000,23.150000,20.215487,1127
2012-08-29,23.150000,23.150000,22.100000,22.549999,19.691542,2525
2012-08-30,21.750000,22.500000,21.750000,22.100000,19.298588,1699
2012-08-31,21.750000,22.750000,21.250000,22.750000,19.866192,2213
2012-09-03,21.750000,23.850000,21.750000,23.850000,20.826756,7554
2012-09-04,23.250000,25.000000,23.250000,25.000000,21.830976,3440
2012-09-05,24.000000,25.700001,24.000000,25.500000,22.267601,3227
2012-09-06,24.750000,26.400000,24.750000,26.049999,22.747881,2662
2012-09-07,25.549999,26.900000,25.549999,26.600000,23.228163,1415
2012-09-08,null,null,null,null,null,null
2012-09-10,25.650000,26.750000,25.650000,26.750000,23.359146,1990
2012-09-11,26.049999,28.049999,26.049999,28.049999,24.494358,3691
2012-09-12,26.700001,28.500000,26.650000,27.250000,23.795769,3612
2012-09-13,26.000000,26.799999,26.000000,26.549999,23.184500,541
2012-09-14,25.500000,26.799999,25.500000,26.650000,23.271822,421
2012-09-17,25.500000,26.799999,25.500000,26.650000,23.271822,3866
2012-09-18,25.799999,26.000000,25.799999,26.000000,22.704220,546
2012-09-20,25.500000,26.500000,25.500000,26.500000,23.140841,803
2012-09-21,26.200001,27.200001,25.799999,26.650000,23.271822,2381
2012-09-24,26.049999,27.000000,26.049999,27.000000,23.577457,1037
2012-09-25,26.250000,27.500000,26.250000,26.950001,23.533796,588
2012-09-26,26.750000,27.500000,26.750000,27.299999,23.839432,3441
2012-09-27,26.100000,27.900000,26.100000,27.900000,24.363373,521
2012-09-28,26.600000,28.250000,26.600000,27.750000,24.232388,2361
2012-10-01,26.600000,28.549999,26.600000,28.049999,24.494358,7362
2012-10-03,28.000000,29.000000,27.000000,28.500000,24.887316,311
2012-10-04,27.100000,28.799999,27.100000,28.700001,25.061962,2376
2012-10-05,27.299999,28.200001,27.299999,28.000000,24.450697,701
2012-10-08,27.750000,28.900000,27.750000,28.500000,24.887316,2605
2012-10-09,28.250000,28.750000,28.250000,28.700001,25.061962,1980
2012-10-10,28.100000,28.950001,28.100000,28.950001,25.280277,1177
2012-10-11,28.299999,28.850000,28.000000,28.799999,25.149286,2711
2012-10-12,28.299999,29.000000,28.299999,29.000000,25.323936,1176
2012-10-15,28.500000,30.450001,28.500000,30.450001,26.590134,9010
2012-10-16,29.000000,31.750000,29.000000,30.500000,26.633795,3098
2012-10-17,29.049999,30.250000,29.000000,29.000000,25.323936,13405
