Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,83.669998,84.650002,83.330002,83.570000,29.496637,11115
2002-07-02,83.669998,84.300003,83.669998,83.699997,29.542528,5085
2002-07-03,84.000000,84.330002,84.000000,84.330002,29.764887,9315
2002-07-04,83.349998,84.750000,82.669998,83.849998,29.595463,6903
2002-07-05,84.500000,86.330002,84.500000,85.580002,30.206085,23643
2002-07-08,89.000000,89.000000,85.750000,86.830002,30.647276,36315
2002-07-09,87.330002,88.300003,87.330002,87.730003,30.964943,23058
2002-07-10,87.500000,89.000000,87.330002,87.830002,31.000233,16137
2002-07-11,87.370003,88.279999,86.669998,86.779999,30.629631,5265
2002-07-12,86.699997,87.300003,85.599998,86.379997,30.488443,5355
2002-07-15,91.500000,91.500000,82.830002,83.629997,29.517813,16893
2002-07-16,84.500000,85.279999,83.680000,83.849998,29.595463,2925
2002-07-17,83.500000,83.500000,81.669998,82.449997,29.101322,6084
2002-07-18,84.169998,89.269997,84.169998,88.230003,31.141417,68337
2002-07-19,88.550003,89.300003,86.129997,86.919998,30.679043,18990
2002-07-22,83.349998,85.650002,83.070000,84.050003,29.666058,3060
2002-07-23,83.680000,84.500000,83.669998,84.080002,29.676643,3195
2002-07-24,86.669998,86.669998,81.820000,82.620003,29.161329,7290
2002-07-25,81.769997,83.779999,81.769997,82.500000,29.118969,4005
2002-07-26,82.669998,82.669998,80.050003,80.550003,28.430712,5265
2002-07-29,80.669998,82.320000,78.330002,78.599998,27.742437,4068
2002-07-30,78.900002,79.070000,78.349998,78.669998,27.767151,2538
2002-07-31,77.000000,77.000000,75.000000,75.580002,26.676512,7596
2002-08-01,76.000000,77.000000,76.000000,76.349998,26.948288,3600
2002-08-02,75.070000,77.000000,75.070000,76.879997,27.135351,3645
2002-08-05,79.629997,79.629997,78.370003,79.019997,27.890678,3375
2002-08-06,78.669998,79.730003,78.669998,79.730003,28.141289,5994
2002-08-07,79.000000,80.949997,78.500000,78.699997,27.777737,2106
2002-08-08,78.419998,78.970001,78.330002,78.349998,27.654196,6570
2002-08-09,75.879997,78.169998,75.879997,78.050003,27.548313,1269
2002-08-12,77.029999,78.169998,76.669998,78.169998,27.590668,2250
2002-08-13,78.000000,78.169998,78.000000,78.000000,27.530666,5049
2002-08-14,79.000000,79.669998,79.000000,79.669998,28.120104,1314
2002-08-15,null,null,null,null,null,null
