Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,1.100000,1.250000,1.030000,1.035000,0.012131,657260
2002-07-02,1.000000,1.000000,0.935000,0.935000,0.010959,367010
2002-07-03,0.845000,0.900000,0.845000,0.845000,0.009904,1187970
2002-07-04,0.810000,0.850000,0.760000,0.760000,0.008908,1550940
2002-07-05,0.795000,0.830000,0.685000,0.800000,0.009376,1922940
2002-07-08,0.835000,0.880000,0.780000,0.870000,0.010197,1442790
2002-07-09,0.880000,0.930000,0.850000,0.880000,0.010314,1361680
2002-07-10,0.895000,0.900000,0.795000,0.800000,0.009376,462510
2002-07-11,0.760000,0.800000,0.720000,0.735000,0.008615,611900
2002-07-12,0.790000,0.800000,0.705000,0.785000,0.009201,628960
2002-07-15,0.770000,0.770000,0.710000,0.715000,0.008380,390600
2002-07-16,0.670000,0.785000,0.660000,0.745000,0.008732,686410
2002-07-17,0.735000,0.800000,0.690000,0.740000,0.008673,583820
2002-07-18,0.730000,0.755000,0.725000,0.735000,0.008615,154170
2002-07-19,0.710000,0.740000,0.700000,0.735000,0.008615,264650
2002-07-22,0.700000,0.720000,0.665000,0.665000,0.007794,237960
2002-07-23,0.640000,0.690000,0.640000,0.660000,0.007736,214820
2002-07-24,0.640000,0.665000,0.640000,0.650000,0.007618,224170
2002-07-25,0.650000,0.705000,0.650000,0.680000,0.007970,663590
2002-07-26,0.680000,0.700000,0.640000,0.655000,0.007677,315970
2002-07-29,0.650000,0.715000,0.590000,0.690000,0.008087,595480
2002-07-30,0.705000,0.750000,0.670000,0.715000,0.008380,1007160
2002-07-31,0.720000,0.720000,0.650000,0.690000,0.008087,180810
2002-08-01,0.685000,0.685000,0.655000,0.660000,0.007736,98560
2002-08-02,0.645000,0.670000,0.610000,0.630000,0.007384,159830
2002-08-05,0.640000,0.670000,0.640000,0.650000,0.007618,143660
2002-08-06,0.660000,0.665000,0.640000,0.645000,0.007560,49920
2002-08-07,0.650000,0.660000,0.620000,0.620000,0.007267,108360
2002-08-08,0.615000,0.630000,0.610000,0.620000,0.007267,87050
2002-08-09,0.605000,0.610000,0.590000,0.595000,0.006974,118890
2002-08-12,0.620000,0.620000,0.585000,0.585000,0.006856,62480
2002-08-13,0.555000,0.590000,0.555000,0.580000,0.006798,92040
2002-08-14,0.575000,0.600000,0.560000,0.570000,0.006681,1280570
2002-08-15,null,null,null,null,null,null
2002-08-16,0.560000,0.595000,0.540000,0.590000,0.006915,181360
2002-08-19,0.570000,0.595000,0.570000,0.590000,0.006915,67390
2002-08-20,0.580000,0.600000,0.565000,0.580000,0.006798,1198320
2002-08-21,0.570000,0.595000,0.565000,0.580000,0.006798,138570
2002-08-22,0.600000,0.600000,0.570000,0.600000,0.007032,101780
2002-08-23,0.595000,0.615000,0.590000,0.610000,0.007149,97620
2002-08-26,0.600000,0.665000,0.600000,0.650000,0.007618,125400
2002-08-27,0.660000,0.675000,0.650000,0.650000,0.007618,209050
2002-08-28,0.640000,0.685000,0.640000,0.680000,0.007970,341630
2002-08-29,0.685000,0.700000,0.670000,0.675000,0.007911,223500
2002-08-30,0.675000,0.675000,0.645000,0.650000,0.007618,724070
2002-09-02,0.655000,0.685000,0.640000,0.645000,0.007560,178640
2002-09-03,0.655000,0.660000,0.650000,0.650000,0.007618,1030100
2002-09-04,0.675000,0.675000,0.630000,0.640000,0.007501,567690
2002-09-05,0.660000,0.660000,0.635000,0.640000,0.007501,294510
2002-09-06,0.660000,0.660000,0.640000,0.650000,0.007618,381780
2002-09-09,0.625000,0.670000,0.625000,0.650000,0.007618,274920
2002-09-10,null,null,null,null,null,null
2002-09-11,0.655000,0.660000,0.645000,0.650000,0.007618,253170
2002-09-12,0.650000,0.655000,0.650000,0.650000,0.007618,344570
2002-09-13,0.660000,0.690000,0.650000,0.650000,0.007618,305570
2002-09-16,0.650000,0.675000,0.650000,0.675000,0.007911,402420
2002-09-17,0.670000,0.675000,0.670000,0.675000,0.007911,183700
2002-09-18,0.720000,0.720000,0.675000,0.695000,0.008146,513290
2002-09-19,0.700000,0.705000,0.700000,0.700000,0.008204,290900
2002-09-20,0.700000,0.730000,0.700000,0.720000,0.008439,1012890
2002-09-23,0.720000,0.740000,0.720000,0.725000,0.008497,405120
2002-09-24,0.725000,0.730000,0.725000,0.725000,0.008497,302140
2002-09-25,0.725000,0.730000,0.720000,0.725000,0.008497,623690
2002-09-26,0.725000,0.735000,0.725000,0.725000,0.008497,57810
2002-09-27,0.730000,0.740000,0.725000,0.725000,0.008497,167940
2002-09-30,0.750000,0.775000,0.750000,0.765000,0.008966,342850
2002-10-01,0.765000,0.800000,0.750000,0.790000,0.009259,645920
2002-10-02,null,null,null,null,null,null
2002-10-03,0.855000,0.855000,0.800000,0.840000,0.009845,483900
2002-10-04,0.890000,0.890000,0.850000,0.850000,0.009962,487920
2002-10-07,0.850000,0.855000,0.850000,0.850000,0.009962,256860
2002-10-08,0.850000,0.850000,0.770000,0.770000,0.009025,272440
2002-10-09,0.780000,0.785000,0.700000,0.700000,0.008204,208570
2002-10-10,0.705000,0.725000,0.670000,0.715000,0.008380,137400
2002-10-11,0.775000,0.775000,0.695000,0.705000,0.008263,100220
2002-10-14,0.705000,0.735000,0.705000,0.715000,0.008380,86010
2002-10-15,null,null,null,null,null,null
2002-10-16,0.765000,0.765000,0.700000,0.705000,0.008263,49420
2002-10-17,0.695000,0.740000,0.695000,0.695000,0.008146,22510
2002-10-18,0.740000,0.740000,0.685000,0.695000,0.008146,34770
2002-10-21,0.660000,0.720000,0.660000,0.705000,0.008263,92750
2002-10-22,0.740000,0.740000,0.690000,0.705000,0.008263,58490
2002-10-23,0.665000,0.720000,0.665000,0.685000,0.008029,39250
2002-10-24,0.685000,0.690000,0.665000,0.685000,0.008029,71870
2002-10-25,0.665000,0.680000,0.665000,0.670000,0.007853,40120
2002-10-28,0.650000,0.735000,0.630000,0.630000,0.007384,98210
2002-10-29,0.625000,0.650000,0.620000,0.640000,0.007501,103580
2002-10-30,0.650000,0.650000,0.650000,0.650000,0.007618,5000
2002-10-31,0.705000,0.705000,0.655000,0.680000,0.007970,592790
2002-11-01,0.730000,0.730000,0.655000,0.670000,0.007853,180490
2002-11-04,0.680000,0.710000,0.680000,0.700000,0.008204,133410
2002-11-05,0.710000,0.710000,0.695000,0.695000,0.008146,76640
2002-11-06,null,null,null,null,null,null
2002-11-07,0.700000,0.720000,0.690000,0.695000,0.008146,137640
2002-11-08,0.700000,0.700000,0.690000,0.690000,0.008087,561820
2002-11-11,0.700000,0.705000,0.680000,0.685000,0.008029,94720
2002-11-12,0.700000,0.700000,0.665000,0.665000,0.007794,26400
2002-11-13,0.645000,0.685000,0.645000,0.670000,0.007853,36970
2002-11-14,0.675000,0.675000,0.650000,0.655000,0.007677,35370
2002-11-15,0.650000,0.670000,0.650000,0.660000,0.007736,35820
2002-11-18,0.650000,0.700000,0.650000,0.670000,0.007853,101910
2002-11-19,null,null,null,null,null,null
2002-11-20,0.680000,0.710000,0.680000,0.705000,0.008263,104460
2002-11-21,0.670000,0.705000,0.670000,0.700000,0.008204,54040
2002-11-22,0.700000,0.725000,0.680000,0.710000,0.008322,609520
2002-11-25,0.720000,0.720000,0.670000,0.705000,0.008263,129630
2002-11-26,0.710000,0.710000,0.685000,0.690000,0.008087,76130
2002-11-27,0.700000,0.700000,0.665000,0.670000,0.007853,145590
2002-11-28,0.670000,0.690000,0.670000,0.685000,0.008029,40230
2002-11-29,0.705000,0.715000,0.690000,0.710000,0.008322,116270
2002-12-02,0.730000,0.750000,0.720000,0.740000,0.008673,192420
2002-12-03,0.745000,0.750000,0.700000,0.720000,0.008439,339340
2002-12-04,0.755000,0.755000,0.700000,0.750000,0.008790,303600
2002-12-05,0.715000,0.750000,0.715000,0.740000,0.008673,322520
2002-12-06,0.755000,0.800000,0.725000,0.765000,0.008966,623550
2002-12-09,0.760000,0.810000,0.750000,0.760000,0.008908,275820
2002-12-10,0.755000,0.755000,0.705000,0.735000,0.008615,100850
2002-12-11,0.710000,0.720000,0.660000,0.690000,0.008087,229010
2002-12-12,0.700000,0.710000,0.700000,0.700000,0.008204,106630
2002-12-13,0.700000,0.715000,0.695000,0.700000,0.008204,200890
2002-12-16,0.665000,0.700000,0.665000,0.685000,0.008029,98330
2002-12-17,0.685000,0.700000,0.680000,0.690000,0.008087,122700
2002-12-18,0.700000,0.760000,0.680000,0.745000,0.008732,461070
2002-12-19,0.705000,0.780000,0.700000,0.765000,0.008966,452190
2002-12-20,0.885000,0.890000,0.720000,0.740000,0.008673,249370
2002-12-23,0.720000,0.730000,0.710000,0.720000,0.008439,140000
2002-12-24,0.785000,0.800000,0.710000,0.770000,0.009025,722080
2002-12-25,null,null,null,null,null,null
2002-12-26,0.795000,0.815000,0.790000,0.805000,0.009435,490830
2002-12-27,0.870000,0.960000,0.765000,0.795000,0.009318,289900
2002-12-30,0.880000,0.880000,0.755000,0.780000,0.009142,115180
2002-12-31,0.750000,0.825000,0.750000,0.800000,0.009376,558980
2003-01-01,0.770000,0.850000,0.770000,0.835000,0.009787,311920
2003-01-02,0.820000,0.825000,0.790000,0.795000,0.009318,126310
2003-01-03,0.800000,0.840000,0.775000,0.825000,0.009669,466390
2003-01-06,0.775000,0.890000,0.775000,0.820000,0.009611,207970
2003-01-07,0.800000,0.850000,0.800000,0.840000,0.009845,469810
2003-01-08,0.800000,0.900000,0.800000,0.895000,0.010490,974440
2003-01-09,0.910000,0.990000,0.885000,0.955000,0.011193,672950
2003-01-10,0.980000,1.000000,0.940000,0.965000,0.011310,838100
