Date,Open,High,Low,Close,Adj Close,Volume
2004-01-16,190.000000,310.000000,178.850006,182.149994,149.650787,11238438
2004-01-19,184.899994,185.000000,166.699997,173.850006,142.831665,4994765
2004-01-20,175.699997,185.000000,173.600006,181.800003,149.363220,4610786
2004-01-21,182.699997,182.699997,167.149994,169.750000,139.463181,2636931
2004-01-22,174.000000,174.000000,155.000000,158.149994,129.932846,1417286
2004-01-23,160.000000,172.899994,156.000000,168.899994,138.764847,1150778
2004-01-26,null,null,null,null,null,null
2004-01-27,173.899994,173.949997,162.000000,164.550003,135.190964,665894
2004-01-28,165.000000,166.699997,158.600006,160.300003,131.699295,1085336
2004-01-29,159.750000,162.000000,156.649994,158.149994,129.932846,493896
2004-01-30,160.100006,160.399994,145.050003,147.449997,121.141983,660508
2004-02-02,null,null,null,null,null,null
2004-02-03,145.550003,148.000000,132.300003,136.050003,111.775955,759141
2004-02-04,135.000000,148.500000,132.149994,146.600006,120.443634,1203873
2004-02-05,145.000000,148.000000,135.000000,136.550003,112.186760,917485
2004-02-06,137.699997,144.899994,135.300003,139.600006,114.692566,556317
2004-02-09,141.000000,141.750000,138.550003,140.050003,115.062279,297402
2004-02-10,140.899994,143.000000,136.250000,137.300003,112.802902,577910
2004-02-11,139.399994,147.000000,138.000000,146.100006,120.032829,1150619
2004-02-12,147.800003,168.899994,145.000000,165.300003,135.807159,4584787
2004-02-13,164.800003,164.800003,157.050003,159.899994,131.370636,1377327
2004-02-16,160.399994,172.500000,158.949997,165.300003,135.807159,1888382
2004-02-17,166.399994,170.899994,163.399994,164.500000,135.149902,1058606
2004-02-18,165.149994,168.649994,163.300003,164.050003,134.780228,704661
2004-02-19,165.649994,165.699997,155.500000,156.250000,128.371841,576593
2004-02-20,156.750000,162.449997,152.000000,158.750000,130.425827,769178
2004-02-23,159.000000,159.800003,148.699997,150.350006,123.524536,298474
2004-02-24,151.000000,151.000000,145.000000,148.550003,122.045723,508964
2004-02-25,149.000000,154.250000,145.100006,146.300003,120.197166,400135
2004-02-26,146.899994,150.699997,143.699997,144.750000,118.923683,263715
2004-02-27,145.500000,147.699997,143.000000,144.500000,118.718292,229324
2004-03-01,146.000000,147.500000,143.800003,145.050003,119.170151,293460
2004-03-02,null,null,null,null,null,null
2004-03-03,145.949997,149.199997,144.000000,144.600006,118.800476,278863
2004-03-04,146.899994,147.000000,139.500000,141.600006,116.335739,276288
