Date,Open,High,Low,Close,Adj Close,Volume
2008-07-28,162.100006,169.500000,147.100006,154.350006,151.809357,13767
2008-07-29,157.500000,159.850006,150.000000,151.350006,148.858749,2166
2008-07-30,158.600006,158.600006,150.100006,156.800003,154.218994,338
2008-07-31,152.300003,158.800003,152.000000,153.800003,151.268402,1458
2008-08-01,147.000000,158.750000,147.000000,153.500000,150.973328,648
2008-08-04,157.699997,164.000000,157.699997,161.600006,158.939987,30370
2008-08-05,164.800003,193.949997,164.800003,193.949997,190.757492,44100
2008-08-06,224.000000,224.000000,184.000000,191.000000,187.856049,51045
2008-08-07,181.000000,189.699997,181.000000,182.149994,179.151718,5602
2008-08-08,182.100006,184.949997,180.000000,180.199997,177.233856,3883
2008-08-11,198.000000,198.000000,180.000000,181.100006,178.119049,4382
2008-08-12,186.000000,189.899994,177.000000,178.199997,175.266754,2300
2008-08-13,186.399994,188.000000,177.000000,178.949997,176.004395,36107
2008-08-14,178.949997,184.899994,178.050003,179.800003,176.840454,3851
2008-08-18,178.000000,181.000000,178.000000,179.949997,176.987946,10181
2008-08-19,180.000000,189.000000,175.500000,178.699997,175.758545,5231
2008-08-20,175.100006,184.000000,175.100006,179.600006,176.643723,4684
2008-08-21,176.000000,183.949997,176.000000,178.350006,175.414307,2607
2008-08-22,180.000000,183.949997,176.199997,180.350006,177.381348,26056
2008-08-25,175.199997,198.000000,175.199997,179.250000,176.299484,12063
2008-08-26,176.000000,176.000000,161.250000,168.649994,165.873947,5873
2008-08-27,167.050003,171.800003,163.250000,164.149994,161.448013,1998
2008-08-28,162.000000,169.649994,162.000000,163.750000,161.054611,1481
2008-08-29,171.000000,176.500000,165.250000,172.449997,169.611420,3546
2008-09-01,182.000000,193.449997,170.550003,175.250000,172.365311,3162
2008-09-02,178.949997,183.949997,171.100006,173.149994,170.299911,2092
2008-09-04,178.000000,178.000000,166.000000,175.000000,172.119431,36235
2008-09-05,171.000000,173.899994,168.000000,169.800003,167.005005,4192
2008-09-08,180.000000,180.000000,170.050003,174.699997,171.824341,1362
2008-09-09,172.000000,176.000000,169.000000,169.699997,166.906662,706
2008-09-10,175.000000,176.899994,169.000000,172.399994,169.562225,163879
2008-09-11,170.000000,176.000000,166.350006,167.899994,165.136276,301642
2008-09-12,174.449997,174.449997,165.000000,165.050003,162.333221,1458
2008-09-15,170.000000,170.000000,150.000000,170.000000,167.201736,375427
2008-09-16,154.000000,158.149994,150.500000,153.649994,151.120850,2228
2008-09-17,152.100006,163.000000,148.500000,149.300003,146.842468,1176
2008-09-18,149.500000,149.500000,135.000000,137.100006,134.843292,6196
