Date,Open,High,Low,Close,Adj Close,Volume
2015-12-02,71.000000,72.099998,68.699997,72.099998,69.983238,46626
2015-12-03,72.800003,73.400002,68.500000,70.300003,68.236084,41021
2015-12-04,69.949997,77.300003,68.500000,77.300003,75.030579,39170
2015-12-07,80.000000,84.000000,72.000000,79.150002,76.826256,80270
2015-12-08,76.199997,81.900002,75.050003,78.400002,76.098282,24113
2015-12-09,78.699997,78.699997,70.599998,70.599998,68.527275,13462
2015-12-10,70.000000,73.500000,70.000000,72.449997,70.322960,13760
2015-12-11,72.900002,72.900002,69.199997,70.699997,68.624336,18105
2015-12-14,68.099998,70.500000,64.500000,69.400002,67.362511,14942
2015-12-15,68.099998,71.400002,68.099998,69.699997,67.653702,8536
2015-12-16,71.849998,72.050003,67.500000,68.699997,66.683060,23175
2015-12-17,67.599998,75.550003,67.599998,75.550003,73.331955,21425
2015-12-18,76.949997,77.849998,70.099998,74.800003,72.603981,35423
2015-12-21,78.500000,82.250000,75.250000,79.300003,76.971863,19890
2015-12-22,81.500000,83.699997,77.000000,80.000000,77.651306,43629
2015-12-23,82.949997,83.800003,78.599998,79.500000,77.165985,18726
2015-12-24,77.099998,82.000000,77.099998,78.750000,76.438004,16475
2015-12-28,80.099998,80.099998,76.000000,77.949997,75.661484,17365
2015-12-29,79.000000,79.199997,76.050003,76.849998,74.593781,21705
2015-12-30,76.500000,77.050003,75.000000,75.750000,73.526077,25637
2015-12-31,75.000000,76.150002,72.699997,74.400002,72.215714,15693
2016-01-01,75.949997,81.099998,75.949997,78.699997,76.389473,21005
2016-01-04,76.349998,79.000000,75.099998,76.650002,74.399658,13289
2016-01-05,77.449997,78.800003,76.000000,78.150002,75.855614,11878
2016-01-06,78.699997,82.500000,77.000000,77.500000,75.224709,14969
2016-01-07,75.000000,75.000000,72.500000,73.599998,71.439201,9525
2016-01-08,76.000000,76.000000,73.599998,73.900002,71.730392,7729
2016-01-11,72.650002,73.250000,70.699997,72.250000,70.128838,9331
2016-01-12,72.650002,74.500000,70.550003,71.349998,69.255257,8012
2016-01-13,73.599998,73.599998,65.000000,69.050003,67.022789,11232
2016-01-14,68.849998,70.949997,67.150002,67.750000,65.760956,5246
