Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,11.000000,15.800000,11.000000,13.200000,10.963318,15155
2002-07-02,13.000000,13.500000,12.800000,13.000000,10.797208,3376
2002-07-03,12.500000,12.950000,12.150000,12.650000,10.506513,5826
2002-07-04,12.300000,12.300000,12.100000,12.200000,10.132762,500
2002-07-05,12.350000,13.400000,12.100000,12.200000,10.132762,9183
2002-07-08,12.500000,13.900000,12.500000,13.850000,11.503179,7392
2002-07-09,13.950000,13.950000,13.000000,13.050000,10.838735,2318
2002-07-10,12.900000,13.100000,12.900000,13.100000,10.880263,3524
2002-07-11,13.050000,13.250000,12.650000,13.050000,10.838735,2784
2002-07-12,12.400000,12.700000,12.050000,12.350000,10.257346,2757
2002-07-15,11.800000,11.900000,10.800000,11.650000,9.675959,5236
2002-07-16,11.050000,12.000000,11.000000,11.000000,9.136099,1178
2002-07-17,11.000000,11.100000,11.000000,11.050000,9.177624,727
2002-07-18,11.000000,11.500000,11.000000,11.400000,9.468320,1251
2002-07-19,11.200000,11.200000,11.000000,11.000000,9.136099,1551
2002-07-22,10.700000,10.700000,9.400000,10.500000,8.720821,1278
2002-07-23,10.250000,10.250000,10.250000,10.250000,8.513184,250
2002-07-24,11.150000,11.150000,10.900000,10.950000,9.094569,450
2002-07-25,10.100000,10.600000,10.100000,10.250000,8.513184,933
2002-07-26,9.800000,10.000000,9.500000,10.000000,8.305544,1400
2002-07-29,10.000000,10.000000,10.000000,10.000000,8.305544,500
2002-07-30,10.100000,10.100000,10.000000,10.000000,8.305544,101
2002-07-31,9.100000,9.100000,9.000000,9.050000,7.516517,667
2002-08-01,10.000000,10.000000,8.800000,9.000000,7.474989,670
2002-08-02,8.000000,9.900000,8.000000,9.900000,8.222489,201
2002-08-05,9.000000,9.000000,9.000000,9.000000,7.474989,1600
2002-08-06,8.000000,8.600000,8.000000,8.600000,7.142767,26
2002-08-07,8.800000,9.250000,8.800000,9.250000,7.682627,140
2002-08-08,8.000000,8.600000,8.000000,8.200000,6.810545,801
2002-08-09,7.650000,8.500000,7.650000,8.500000,7.059711,501
2002-08-12,7.250000,9.700000,7.250000,9.600000,7.973322,4
2002-08-13,7.900000,10.050000,7.850000,9.000000,7.474989,11984
2002-08-14,8.100000,9.000000,8.100000,8.700000,7.225823,7514
2002-08-15,null,null,null,null,null,null
2002-08-16,9.700000,9.700000,8.250000,8.700000,7.225823,7006
2002-08-19,8.500000,8.500000,8.500000,8.500000,7.059711,525
2002-08-20,8.300000,8.500000,8.250000,8.500000,7.059711,10002
2002-08-21,7.800000,8.500000,7.800000,8.500000,7.059711,11001
2002-08-22,8.550000,9.000000,8.250000,8.450000,7.018185,16385
2002-08-23,8.500000,8.500000,8.500000,8.500000,7.059711,5000
2002-08-26,8.300000,8.300000,8.000000,8.000000,6.644435,10100
2002-08-27,8.100000,8.100000,8.000000,8.000000,6.644435,10000
2002-08-28,8.000000,8.000000,8.000000,8.000000,6.644435,10000
2002-08-29,8.100000,8.100000,8.100000,8.100000,6.727491,1
2002-08-30,8.000000,8.400000,8.000000,8.000000,6.644435,10700
2002-09-02,9.600000,9.600000,7.800000,9.000000,7.474989,203
2002-09-03,8.150000,8.150000,8.000000,8.000000,6.644435,10000
2002-09-04,8.500000,8.500000,8.500000,8.500000,7.059711,10
2002-09-05,null,null,null,null,null,null
2002-09-06,7.250000,7.750000,7.250000,7.750000,6.436797,512
2002-09-09,7.850000,7.850000,7.500000,7.500000,6.229157,700
2002-09-10,null,null,null,null,null,null
2002-09-11,7.550000,7.550000,7.550000,7.550000,6.270685,26
2002-09-12,null,null,null,null,null,null
2002-09-13,8.500000,8.500000,7.600000,8.200000,6.810545,701
2002-09-16,8.900000,9.500000,8.900000,9.150000,7.599573,33
2002-09-17,7.750000,7.750000,7.750000,7.750000,6.436797,28
2002-09-18,null,null,null,null,null,null
2002-09-19,6.500000,7.950000,6.500000,7.950000,6.602908,502
2002-09-20,7.250000,7.500000,7.250000,7.450000,6.187630,1051
2002-09-23,7.450000,7.500000,6.600000,7.100000,5.896936,637
2002-09-24,7.000000,7.100000,7.000000,7.000000,5.813880,2299
2002-09-25,6.650000,8.200000,6.650000,7.600000,6.312212,203
2002-09-26,6.500000,9.000000,6.500000,8.650000,7.184295,10
2002-09-27,7.150000,8.650000,7.150000,8.650000,7.184295,4
2002-09-30,9.000000,9.000000,7.250000,7.850000,6.519852,1139
2002-10-01,7.700000,7.700000,7.700000,7.700000,6.395269,600
2002-10-02,null,null,null,null,null,null
2002-10-03,7.100000,7.100000,6.900000,6.900000,5.730825,1619
2002-10-04,7.000000,7.250000,7.000000,7.100000,5.896936,746
2002-10-07,7.000000,7.000000,6.800000,6.850000,5.689297,1054
2002-10-08,null,null,null,null,null,null
2002-10-09,6.800000,8.000000,6.800000,7.500000,6.229157,373
2002-10-10,6.250000,6.250000,6.250000,6.250000,5.190965,50
2002-10-11,7.000000,7.500000,7.000000,7.500000,6.229157,1150
2002-10-14,7.500000,8.800000,7.000000,8.800000,7.308879,1003
2002-10-15,null,null,null,null,null,null
2002-10-16,null,null,null,null,null,null
2002-10-17,8.000000,8.000000,7.050000,7.050000,5.855409,750
2002-10-18,6.650000,7.500000,6.650000,6.850000,5.689297,1766
2002-10-21,7.000000,7.900000,7.000000,7.900000,6.561380,3931
2002-10-22,9.400000,9.400000,7.000000,7.500000,6.229157,701
2002-10-23,9.000000,9.000000,6.700000,6.700000,5.564714,26
2002-10-24,7.950000,7.950000,6.750000,6.750000,5.606241,501
2002-10-25,8.100000,8.100000,6.750000,6.750000,5.606241,501
2002-10-28,8.050000,8.050000,6.000000,7.950000,6.602908,202
2002-10-29,6.600000,6.600000,6.550000,6.550000,5.440132,10
2002-10-30,7.850000,7.850000,7.000000,7.000000,5.813880,51
2002-10-31,8.400000,8.400000,6.100000,7.750000,6.436797,3
2002-11-01,null,null,null,null,null,null
2002-11-04,9.300000,9.300000,7.700000,7.700000,6.395269,12
2002-11-05,9.200000,9.200000,9.200000,9.200000,7.641100,1
2002-11-06,null,null,null,null,null,null
2002-11-07,11.000000,11.000000,7.400000,7.400000,6.146102,1561
2002-11-08,6.900000,6.900000,6.850000,6.850000,5.689297,300
2002-11-11,5.850000,8.200000,5.850000,6.700000,5.564714,1713
2002-11-12,5.550000,7.000000,5.550000,6.950000,5.772353,3
2002-11-13,5.850000,6.600000,5.850000,6.600000,5.481659,201
2002-11-14,6.050000,7.000000,6.050000,7.000000,5.813880,51
2002-11-15,6.300000,7.750000,6.300000,7.750000,6.436797,306
2002-11-18,6.450000,7.750000,6.450000,7.750000,6.436797,279
2002-11-19,null,null,null,null,null,null
2002-11-20,6.650000,7.100000,6.650000,7.100000,5.896936,1700
2002-11-21,7.000000,7.000000,6.750000,6.750000,5.606241,468
2002-11-22,7.000000,7.000000,7.000000,7.000000,5.813880,728
2002-11-25,5.950000,7.500000,5.950000,7.300000,6.063046,1520
2002-11-26,6.300000,6.300000,6.300000,6.300000,5.232492,1
2002-11-27,6.900000,6.900000,6.900000,6.900000,5.730825,1544
2002-11-28,6.150000,6.750000,6.150000,6.750000,5.606241,204
2002-11-29,6.800000,7.900000,6.800000,7.200000,5.979991,10538
2002-12-02,8.250000,8.250000,7.800000,7.800000,6.478324,1025
2002-12-03,7.500000,7.500000,7.500000,7.500000,6.229157,337
2002-12-04,null,null,null,null,null,null
2002-12-05,6.150000,7.300000,6.150000,7.250000,6.021520,251
2002-12-06,6.750000,8.450000,6.750000,7.150000,5.938464,1112
2002-12-09,7.150000,7.250000,7.000000,7.050000,5.855409,2740
2002-12-10,6.800000,7.050000,6.800000,7.000000,5.813880,1710
2002-12-11,7.150000,7.150000,6.800000,7.000000,5.813880,2370
2002-12-12,7.100000,7.100000,6.850000,7.000000,5.813880,1323
2002-12-13,7.000000,7.000000,6.800000,6.900000,5.730825,1528
2002-12-16,6.900000,6.900000,6.550000,6.850000,5.689297,3412
2002-12-17,null,null,null,null,null,null
2002-12-18,6.600000,7.000000,6.550000,6.700000,5.564714,356
2002-12-19,7.000000,7.500000,6.600000,6.650000,5.523187,805
2002-12-20,6.800000,6.800000,6.750000,6.800000,5.647770,1266
2002-12-23,7.000000,7.000000,6.750000,7.000000,5.813880,900
2002-12-24,6.800000,6.800000,6.800000,6.800000,5.647770,100
2002-12-25,null,null,null,null,null,null
