Date,Open,High,Low,Close,Adj Close,Volume
2007-07-04,472.500000,784.400024,472.500000,784.400024,784.400024,19079150
2007-07-05,765.000000,768.000000,684.000000,688.849976,688.849976,5250334
2007-07-06,692.000000,774.000000,659.099976,763.000000,763.000000,9246989
2007-07-09,765.000000,801.500000,744.099976,781.000000,781.000000,4882495
2007-07-10,788.799988,789.500000,760.049988,760.500000,760.500000,2209073
2007-07-11,757.000000,773.500000,750.099976,752.049988,752.049988,1264622
2007-07-12,759.000000,784.000000,759.000000,763.799988,763.799988,1263382
2007-07-13,778.000000,797.500000,768.000000,768.599976,768.599976,1545764
2007-07-16,775.000000,775.000000,745.150024,750.000000,750.000000,413377
2007-07-17,755.000000,767.150024,705.500000,717.500000,717.500000,526973
2007-07-18,715.000000,746.900024,708.099976,738.000000,738.000000,1230126
2007-07-19,741.299988,755.950012,726.250000,736.549988,736.549988,567855
2007-07-20,744.950012,745.099976,720.299988,728.000000,728.000000,341172
2007-07-23,726.000000,726.000000,711.000000,715.000000,715.000000,160275
2007-07-24,715.000000,725.000000,683.049988,687.299988,687.299988,362527
2007-07-25,682.500000,700.000000,669.000000,700.000000,700.000000,330801
2007-07-26,703.400024,717.500000,690.200012,706.500000,706.500000,263447
2007-07-27,666.000000,693.000000,637.950012,650.000000,650.000000,198177
2007-07-30,652.000000,675.000000,646.000000,648.000000,648.000000,173287
2007-07-31,660.000000,680.200012,650.000000,668.500000,668.500000,278670
2007-08-01,657.000000,660.000000,621.000000,623.849976,623.849976,128253
2007-08-02,629.700012,644.799988,612.000000,644.000000,644.000000,129795
2007-08-03,650.000000,660.000000,626.250000,628.000000,628.000000,73370
2007-08-06,601.099976,631.000000,595.049988,631.000000,631.000000,122988
2007-08-07,632.000000,669.599976,632.000000,654.000000,654.000000,260933
2007-08-08,661.099976,685.000000,655.299988,657.650024,657.650024,185485
2007-08-09,690.000000,690.000000,645.000000,657.000000,657.000000,156652
2007-08-10,602.349976,679.000000,600.000000,679.000000,679.000000,161562
2007-08-13,680.049988,696.950012,661.500000,661.500000,661.500000,96257
2007-08-14,664.000000,666.000000,646.000000,656.000000,656.000000,78371
2007-08-16,610.000000,660.000000,610.000000,653.049988,653.049988,167686
2007-08-17,650.000000,673.000000,640.000000,657.299988,657.299988,88378
2007-08-20,674.000000,682.000000,652.500000,656.349976,656.349976,59795
2007-08-21,657.000000,657.000000,615.250000,621.900024,621.900024,34903
2007-08-22,601.099976,635.000000,600.000000,605.099976,605.099976,59068
2007-08-23,621.900024,632.000000,584.000000,587.849976,587.849976,89466
2007-08-24,599.000000,608.900024,582.000000,591.000000,591.000000,112573
2007-08-27,608.000000,614.950012,598.900024,600.599976,600.599976,68766
2007-08-28,613.000000,613.000000,595.099976,597.000000,597.000000,67561
2007-08-29,589.950012,597.000000,579.099976,594.000000,594.000000,30956
2007-08-30,600.000000,605.000000,590.000000,593.599976,593.599976,38638
2007-08-31,593.599976,601.900024,593.599976,599.950012,599.950012,43280
2007-09-03,604.500000,638.000000,599.000000,612.250000,612.250000,179809
2007-09-04,615.000000,626.950012,611.099976,623.250000,623.250000,72936
2007-09-05,623.250000,638.900024,623.250000,632.000000,632.000000,147566
2007-09-06,621.849976,643.099976,621.000000,641.650024,641.650024,92238
2007-09-07,645.000000,672.400024,639.049988,655.400024,655.400024,211855
2007-09-10,645.000000,667.950012,641.000000,661.849976,661.849976,71476
