Date,Open,High,Low,Close,Adj Close,Volume
2006-04-03,2.956250,2.956250,2.956250,2.956250,0.157997,1193240
2006-04-04,3.252500,3.252500,3.252500,3.252500,0.173830,1193240
2006-04-05,3.416250,3.416250,3.416250,3.416250,0.182582,296560
2006-04-07,3.587500,3.587500,3.416250,3.466250,0.185254,12694240
2006-04-10,3.500000,3.575000,3.293750,3.530000,0.188661,4380480
2006-04-12,3.597500,3.707500,3.552500,3.707500,0.198148,2337320
2006-04-13,3.862500,3.885000,3.522500,3.578750,0.191267,3687680
2006-04-17,3.695000,3.720000,3.632500,3.682500,0.196812,1529280
2006-04-18,3.798750,3.867500,3.751250,3.867500,0.206699,1569800
2006-04-19,4.060000,4.061250,3.950000,4.061250,0.217054,2597200
2006-04-20,4.265000,4.265000,4.265000,4.265000,0.227943,69600
2006-04-21,4.478750,4.478750,4.478750,4.478750,0.239367,527440
2006-04-24,4.577500,4.703750,4.500000,4.703750,0.251392,2585320
2006-04-25,4.940000,4.940000,4.556250,4.640000,0.247985,9499880
2006-04-26,4.745000,4.872500,4.712500,4.872500,0.260411,2023600
2006-04-27,5.050000,5.116250,5.000000,5.116250,0.273438,3012000
2006-04-28,5.260000,5.372500,4.868750,5.372500,0.287134,3158880
2006-05-02,5.923750,5.923750,5.922500,5.923750,0.316595,1486840
2006-05-03,6.220000,6.220000,5.700000,6.220000,0.332428,4971320
2006-05-04,6.531250,6.531250,6.531250,6.531250,0.349063,737680
2006-05-05,6.856250,6.858750,6.227500,6.413750,0.342783,7657800
2006-05-08,6.622500,6.735000,6.266250,6.735000,0.359953,5419600
2006-05-09,7.060000,7.072500,6.556250,7.072500,0.377990,8069000
2006-05-10,7.426250,7.426250,6.718750,6.727500,0.359552,10358160
2006-05-11,7.037500,7.065000,6.416250,6.807500,0.363827,8443560
2006-05-12,6.750000,6.952500,6.575000,6.748750,0.360688,3566080
2006-05-15,6.875000,6.901250,6.411250,6.411250,0.342650,3135000
2006-05-16,6.125000,6.425000,6.091250,6.093750,0.325681,2443280
2006-05-17,6.200000,6.398750,6.200000,6.398750,0.341982,6536320
2006-05-18,6.300000,6.300000,6.078750,6.078750,0.324879,1667720
2006-05-19,6.025000,6.200000,5.775000,5.775000,0.308645,489120
2006-05-22,5.766250,5.825000,5.486250,5.486250,0.293213,89360
2006-05-23,5.212500,5.212500,5.212500,5.212500,0.278583,64880
2006-05-24,4.965000,5.197500,4.952500,4.952500,0.264687,1736120
2006-05-25,4.705000,5.150000,4.705000,5.051250,0.269965,3788840
2006-05-26,5.100000,5.303750,5.100000,5.303750,0.283459,4132280
2006-05-29,5.375000,5.500000,5.163750,5.267500,0.281522,1718200
2006-05-30,5.450000,5.500000,5.175000,5.216250,0.278783,2090040
2006-05-31,4.975000,5.025000,4.956250,4.962500,0.265221,1396840
2006-06-01,5.075000,5.075000,4.686250,4.686250,0.330337,546360
2006-06-02,4.500000,4.650000,4.452500,4.516250,0.318354,1179520
2006-06-05,4.675000,4.675000,4.291250,4.291250,0.302493,802440
2006-06-06,4.077500,4.077500,4.077500,4.077500,0.287426,22800
2006-06-07,3.873750,3.950000,3.873750,3.873750,0.273063,748400
2006-06-08,3.680000,3.680000,3.680000,3.680000,0.259406,16400
2006-06-09,3.496250,3.865000,3.496250,3.858750,0.272006,6055240
2006-06-12,4.025000,4.025000,3.473750,3.475000,0.244955,1837520
2006-06-13,3.168750,3.242500,3.127500,3.127500,0.220460,10324000
2006-06-14,3.222500,3.222500,2.971250,2.971250,0.209445,1152120
2006-06-15,3.000000,3.120000,2.823750,3.120000,0.219931,2930480
2006-06-16,3.250000,3.276250,3.250000,3.276250,0.230945,417880
2006-06-19,3.375000,3.421250,3.125000,3.322500,0.234205,1407080
2006-06-20,3.175000,3.412500,3.175000,3.296250,0.232355,828560
2006-06-21,3.281250,3.461250,3.281250,3.461250,0.243986,307240
2006-06-22,3.635000,3.635000,3.635000,3.635000,0.256234,212280
2006-06-23,3.795000,3.795000,3.453750,3.640000,0.256586,3584440
2006-06-26,3.733750,3.850000,3.500000,3.500000,0.246717,656720
2006-06-27,3.420000,3.525000,3.325000,3.455000,0.243545,1009960
2006-06-28,3.290000,3.487500,3.287500,3.397500,0.239492,574480
2006-06-29,3.500000,3.567500,3.350000,3.427500,0.241607,2149680
2006-06-30,3.545000,3.572500,3.450000,3.506250,0.247158,1650200
2006-07-03,3.610000,3.610000,3.425000,3.457500,0.243722,318320
2006-07-04,3.500000,3.512500,3.352500,3.381250,0.238347,519400
2006-07-05,3.412500,3.412500,3.212500,3.243750,0.228654,744760
2006-07-06,3.158750,3.212500,3.112500,3.162500,0.222927,1349800
2006-07-07,3.225000,3.237500,3.005000,3.005000,0.211825,485080
2006-07-10,3.000000,3.000000,2.875000,2.968750,0.209269,963640
2006-07-11,2.975000,3.117500,2.928750,3.117500,0.219755,1099040
