Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,10.762500,11.000000,10.762500,10.925000,0.000028,44000
1996-01-02,10.925000,11.026200,10.825000,10.901200,0.000028,34000
1996-01-03,10.901200,11.000000,10.900000,11.000000,0.000028,16000
1996-01-04,10.750000,10.875000,10.750000,10.750000,0.000027,24000
1996-01-05,10.500000,10.750000,10.500000,10.687500,0.000027,10000
1996-01-08,10.625000,10.625000,10.400000,10.400000,0.000026,10000
1996-01-09,10.428800,10.437500,10.401200,10.401200,0.000026,24000
1996-01-10,10.425000,10.425000,10.425000,10.425000,0.000026,2000
1996-01-11,10.275000,10.282500,10.275000,10.282500,0.000026,4000
1996-01-12,10.282500,10.327500,10.250000,10.251300,0.000026,38000
1996-01-15,10.251300,10.343800,10.287500,10.288700,0.000026,12000
1996-01-16,10.128700,10.153800,10.128700,10.153800,0.000026,6000
1996-01-17,10.063800,10.076300,10.063800,10.076300,0.000026,10000
1996-01-18,9.875000,9.950000,9.637500,9.637500,0.000024,10000
1996-01-19,null,null,null,null,null,null
1996-01-22,9.637500,9.875000,9.625000,9.832500,0.000025,16000
1996-01-23,9.832500,9.850000,9.776250,9.776250,0.000025,8000
1996-01-24,9.750000,9.875000,9.750000,9.825000,0.000025,12000
1996-01-25,9.750000,9.825000,9.750000,9.775000,0.000025,16000
1996-01-26,null,null,null,null,null,null
1996-01-29,9.775000,9.675000,9.550000,9.550000,0.000024,14000
1996-01-30,9.550000,9.875000,9.626250,9.626250,0.000024,6000
1996-01-31,null,null,null,null,null,null
1996-02-01,9.875000,9.875000,9.625000,9.625000,0.000024,4000
1996-02-02,9.625000,9.700000,9.625000,9.700000,0.000025,14000
1996-02-05,9.812500,9.812500,9.750000,9.750000,0.000025,4000
1996-02-06,9.750000,9.812500,9.675000,9.812500,0.000025,12000
1996-02-07,9.751250,9.751250,9.750000,9.750000,0.000025,8000
1996-02-08,null,null,null,null,null,null
1996-02-09,9.750000,10.125000,9.700000,9.700000,0.000025,46000
