Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,23.274401,25.213900,22.720200,25.172300,7.477254,13707
2002-07-02,24.687401,26.793200,24.687401,26.266800,7.802371,11740
2002-07-03,27.430500,28.732700,25.768000,26.059000,7.740641,5554
2002-07-04,27.430500,27.430500,24.479601,26.045099,7.736509,2017
2002-07-05,27.430500,28.261700,25.768000,26.308300,7.814696,4815
2002-07-08,27.569000,28.732700,26.322201,27.763000,8.246805,19229
2002-07-09,28.372499,29.370001,27.735300,28.483400,8.460791,7662
2002-07-10,29.647100,29.647100,27.319700,27.430500,8.148034,5775
2002-07-11,27.638300,27.638300,26.890200,27.028700,8.028683,1610
2002-07-12,26.876301,27.984600,26.336100,27.929199,8.296170,5612
2002-07-15,27.707600,27.707600,27.236500,27.347401,8.123352,1714
2002-07-16,25.781900,26.322201,25.781900,26.322201,7.818823,1462
2002-07-17,26.322201,26.751699,25.366301,25.740299,7.645972,3490
2002-07-18,25.906601,27.070299,25.906601,26.322201,7.818823,772
2002-07-19,27.347401,27.347401,25.975800,25.989700,7.720057,1660
2002-07-22,25.768000,27.098000,23.412901,24.382700,7.242708,4273
2002-07-23,24.382700,24.909100,24.382700,24.909100,7.399073,902
2002-07-24,23.939301,24.881399,23.939301,24.105600,7.160398,523
2002-07-25,24.396500,24.396500,24.105600,24.105600,7.160398,1624
2002-07-26,24.382700,24.382700,22.235300,22.609400,6.715963,541
2002-07-29,21.334801,21.819700,20.794500,21.279400,6.320895,2075
2002-07-30,22.193800,22.193800,21.057800,21.057800,6.255070,4169
2002-07-31,21.570299,21.611900,21.334801,21.611900,6.419662,913
2002-08-01,21.889000,23.468300,21.889000,23.135799,6.872326,1978
2002-08-02,20.836100,21.944401,20.836100,21.611900,6.419662,1570
2002-08-05,21.902800,21.902800,21.889000,21.889000,6.501972,361
2002-08-06,22.166100,22.304600,22.166100,22.193800,6.592510,451
2002-08-07,22.166100,22.720200,22.166100,22.276899,6.617196,4277
2002-08-08,22.443100,22.443100,22.443100,22.443100,6.666564,541
2002-08-09,22.415400,22.415400,22.166100,22.360001,6.641881,1014
2002-08-12,22.166100,22.166100,22.166100,22.166100,7.413121,180
2002-08-13,22.179899,22.179899,22.166100,22.166100,7.413121,1444
2002-08-14,22.166100,22.166100,22.166100,22.166100,7.413121,361
2002-08-15,null,null,null,null,null,null
2002-08-16,22.166100,22.581699,22.166100,22.581699,7.552111,3234
2002-08-19,22.470800,22.997299,22.304600,22.997299,7.691103,2815
2002-08-20,22.470800,22.470800,22.193800,22.443100,7.505757,4880
2002-08-21,22.512400,22.512400,22.512400,22.512400,7.528935,1011
2002-08-22,22.443100,22.457001,22.166100,22.166100,7.413121,3320
2002-08-23,22.443100,22.443100,21.889000,21.889000,7.320447,2956
2002-08-26,23.274401,23.274401,21.514900,21.930500,7.334328,762
2002-08-27,21.611900,23.066500,21.611900,21.889000,7.320447,1516
2002-08-28,22.997299,22.997299,20.572901,20.669800,6.912706,4028
2002-08-29,22.096800,22.720200,20.697500,21.584200,7.218512,137
2002-08-30,20.323500,22.166100,20.323500,22.166100,7.413121,466
2002-09-02,22.166100,22.166100,22.166100,22.166100,7.413121,90
2002-09-03,22.082899,22.082899,21.099300,21.154699,7.074871,1231
2002-09-04,20.378901,21.999800,20.378901,21.362499,7.144368,1234
2002-09-05,21.140900,22.166100,21.140900,22.166100,7.413121,224
2002-09-06,22.124500,22.166100,21.708900,21.708900,7.260216,4591
2002-09-09,21.057800,21.057800,20.378901,20.462000,6.843208,448
2002-09-10,null,null,null,null,null,null
2002-09-11,22.152201,22.152201,22.124500,22.124500,7.399206,108
2002-09-12,21.113199,21.154699,21.113199,21.154699,7.074871,361
2002-09-13,20.919201,20.919201,20.919201,20.919201,6.996114,1559
2002-09-16,21.057800,21.057800,20.919201,20.919201,6.996114,126
2002-09-17,20.780701,21.057800,20.780701,20.822201,6.963671,780
2002-09-18,20.780701,21.043900,20.226500,20.351200,6.806154,1696
2002-09-19,20.004900,20.226500,19.977200,20.226500,6.764452,722
2002-09-20,20.780701,20.780701,20.780701,20.780701,6.949795,361
2002-09-23,21.057800,21.057800,19.672400,19.672400,6.579140,2465
2002-09-24,19.824800,19.880199,19.810900,19.810900,6.625457,974
2002-09-25,null,null,null,null,null,null
2002-09-26,19.949400,19.949400,19.395300,19.395300,6.486468,361
2002-09-27,19.727800,20.628300,19.533800,19.783199,6.616196,2584
2002-09-30,19.672400,19.672400,19.533800,19.547701,6.537434,819
2002-10-01,19.533800,19.533800,19.533800,19.533800,6.532787,180
2002-10-02,null,null,null,null,null,null
2002-10-03,19.132099,19.907900,19.132099,19.907900,6.657898,191
2002-10-04,20.212700,20.212700,19.270599,19.284500,6.449412,372
2002-10-07,null,null,null,null,null,null
2002-10-08,20.753000,20.766800,19.132099,19.132099,6.398443,1065
2002-10-09,19.700100,19.769400,19.700100,19.769400,6.611578,209
2002-10-10,null,null,null,null,null,null
2002-10-11,19.672400,19.672400,19.672400,19.672400,6.579140,740
2002-10-14,20.503599,20.503599,20.198799,20.198799,6.755185,361
2002-10-15,null,null,null,null,null,null
2002-10-16,19.533800,19.672400,19.409100,19.436899,6.500379,902
2002-10-17,19.603100,19.603100,19.547701,19.547701,6.537434,3699
2002-10-18,19.672400,19.672400,19.672400,19.672400,6.579140,2707
2002-10-21,19.672400,19.672400,19.672400,19.672400,6.579140,180
2002-10-22,19.409100,19.672400,19.409100,19.644699,6.569878,3180
2002-10-23,19.409100,20.503599,19.395300,19.478399,6.514258,1783
2002-10-24,19.672400,19.672400,19.409100,19.409100,6.491081,180
2002-10-25,19.395300,19.395300,19.381500,19.381500,6.481852,451
2002-10-28,17.649700,18.979700,17.649700,18.855000,6.305772,722
2002-10-29,null,null,null,null,null,null
2002-10-30,20.268101,20.268101,19.547701,19.547701,6.537434,307
2002-10-31,null,null,null,null,null,null
2002-11-01,20.420500,20.462000,20.420500,20.462000,6.843208,1281
2002-11-04,null,null,null,null,null,null
2002-11-05,21.861300,21.861300,21.861300,21.861300,7.311182,90
2002-11-06,null,null,null,null,null,null
2002-11-07,21.057800,21.057800,19.686199,19.700100,6.588403,1177
2002-11-08,20.739100,20.739100,20.739100,20.739100,6.935879,4
2002-11-11,null,null,null,null,null,null
2002-11-12,20.226500,20.226500,19.672400,20.046400,6.704216,938
2002-11-13,20.087999,20.087999,19.700100,19.852501,6.639370,271
2002-11-14,19.949400,20.628300,19.949400,19.963301,6.676425,2342
2002-11-15,20.711399,20.725300,20.711399,20.725300,6.931268,36
2002-11-18,21.057800,21.196301,21.057800,21.196301,7.088785,722
2002-11-19,null,null,null,null,null,null
2002-11-20,20.766800,20.780701,20.669800,20.780701,6.949795,1805
2002-11-21,20.780701,20.850000,20.780701,20.822201,6.963671,469
2002-11-22,20.780701,20.780701,20.780701,20.780701,6.949795,361
2002-11-25,21.598000,22.443100,20.808399,20.808399,6.959056,6388
2002-11-26,20.642099,22.027500,20.642099,21.598000,7.223128,9384
2002-11-27,22.096800,23.551399,21.889000,22.830999,7.635486,5692
2002-11-28,21.334801,23.412901,21.099300,23.274401,7.783775,14981
2002-11-29,23.551399,23.814699,23.274401,23.343599,7.806915,6074
2002-12-02,21.889000,24.244101,21.889000,23.828501,7.969087,5775
2002-12-03,22.581699,24.091700,22.581699,23.690001,7.922767,2393
2002-12-04,23.551399,23.551399,22.304600,23.274401,7.783775,5775
2002-12-05,23.274401,23.274401,22.318501,22.581699,7.552111,974
2002-12-06,23.828501,23.828501,23.399000,23.412901,7.830092,11
2002-12-09,22.179899,22.720200,22.179899,22.720200,7.598433,1436
2002-12-10,23.814699,23.814699,21.445700,22.830999,7.635486,2364
2002-12-11,24.077900,24.077900,22.720200,22.720200,7.598433,11
2002-12-12,23.828501,23.828501,20.946899,22.304600,7.459437,783
2002-12-13,23.468300,23.468300,22.470800,22.470800,7.515022,94
2002-12-16,23.551399,23.551399,21.611900,23.205099,7.760596,40
2002-12-17,21.542601,22.983400,20.919201,22.235300,7.436263,6136
2002-12-18,23.232800,23.232800,22.775600,22.914200,7.663311,180
2002-12-19,21.792000,22.969601,21.792000,22.041401,7.371418,1029
2002-12-20,null,null,null,null,null,null
2002-12-23,null,null,null,null,null,null
2002-12-24,23.690001,23.690001,23.690001,23.690001,7.922767,90
2002-12-25,null,null,null,null,null,null
2002-12-26,21.972099,21.972099,21.972099,21.972099,7.348238,180
2002-12-27,21.861300,21.861300,21.847401,21.847401,7.306534,541
2002-12-30,20.559000,20.559000,20.559000,20.559000,6.875649,180
2002-12-31,22.512400,22.581699,22.512400,22.581699,7.552111,361
2003-01-01,null,null,null,null,null,null
2003-01-02,null,null,null,null,null,null
2003-01-03,22.858700,22.858700,22.858700,22.858700,7.644751,180
2003-01-06,22.969601,22.969601,21.611900,22.318501,7.464091,1805
2003-01-07,null,null,null,null,null,null
2003-01-08,null,null,null,null,null,null
2003-01-09,null,null,null,null,null,null
2003-01-10,21.127001,22.249201,21.071600,21.972099,7.348238,3696
2003-01-13,21.348700,21.611900,21.334801,21.611900,7.227776,1083
2003-01-14,21.016199,21.750401,21.016199,21.750401,7.274095,1653
