Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,1.125000,1.125000,1.125000,1.125000,-0.008591,20000
1996-01-02,1.037500,1.037500,1.037500,1.037500,-0.007923,40000
1996-01-03,1.075000,1.075000,1.075000,1.075000,-0.008209,20000
1996-01-04,1.075000,1.075000,1.075000,1.075000,-0.008209,120000
1996-01-05,null,null,null,null,null,null
1996-01-08,null,null,null,null,null,null
1996-01-09,1.082500,1.082500,1.075000,1.075000,-0.008209,40000
1996-01-10,1.075000,1.076500,1.075000,1.076500,-0.008221,60000
1996-01-11,1.076500,1.087500,1.065000,1.075000,-0.008209,80000
1996-01-12,1.075000,1.075000,1.075000,1.075000,-0.008209,20000
1996-01-15,null,null,null,null,null,null
1996-01-16,1.050000,1.050000,1.050000,1.050000,-0.008018,20000
1996-01-17,null,null,null,null,null,null
1996-01-18,1.050000,1.070000,1.070000,1.070000,-0.008171,20000
1996-01-19,1.055000,1.055000,1.050000,1.050000,-0.008018,40000
1996-01-22,1.030130,1.070000,1.030130,1.070000,-0.008171,100000
1996-01-23,1.070000,1.050000,1.050000,1.050000,-0.008018,80000
1996-01-24,1.047500,1.050000,1.047500,1.050000,-0.008018,40000
1996-01-25,1.048750,1.051250,1.037500,1.050000,-0.008018,620000
1996-01-26,null,null,null,null,null,null
1996-01-29,1.037500,1.051250,1.037500,1.050000,-0.008018,440000
1996-01-30,1.050000,1.049880,1.000130,1.041380,-0.007953,120000
1996-01-31,null,null,null,null,null,null
1996-02-01,null,null,null,null,null,null
1996-02-02,1.062500,1.075000,1.062500,1.075000,-0.008209,40000
1996-02-05,null,null,null,null,null,null
1996-02-06,1.050000,1.050000,1.050000,1.050000,-0.008018,80000
1996-02-07,null,null,null,null,null,null
1996-02-08,null,null,null,null,null,null
1996-02-09,null,null,null,null,null,null
1996-02-12,1.074750,1.074750,1.074750,1.074750,-0.008207,40000
1996-02-13,null,null,null,null,null,null
1996-02-14,null,null,null,null,null,null
1996-02-15,null,null,null,null,null,null
1996-02-16,1.125000,1.125000,1.125000,1.125000,-0.008591,60000
1996-02-19,null,null,null,null,null,null
1996-02-20,null,null,null,null,null,null
1996-02-21,null,null,null,null,null,null
1996-02-22,null,null,null,null,null,null
1996-02-23,null,null,null,null,null,null
1996-02-26,1.125000,1.125000,1.125000,1.125000,-0.008591,20000
1996-02-27,1.100000,1.100000,1.087500,1.087500,-0.008305,40000
1996-02-28,1.100130,1.125000,1.100130,1.125000,-0.008591,80000
1996-02-29,null,null,null,null,null,null
1996-03-01,1.125000,1.125000,1.125000,1.125000,-0.008591,20000
