Date,Open,High,Low,Close,Adj Close,Volume
2017-05-10,100.286003,103.107002,89.642899,89.714302,85.916710,4215400
2017-05-11,92.785698,92.785698,90.000000,90.714302,86.874367,618800
2017-05-12,90.821404,91.678596,90.714302,90.892899,87.045410,284200
2017-05-15,92.035698,92.714302,90.750000,90.857101,87.011131,208600
2017-05-16,92.428596,92.714302,90.892899,92.000000,88.105644,333200
2017-05-17,92.142899,94.142899,92.107101,93.642899,89.679001,326200
2017-05-18,93.714302,94.607101,93.642899,93.821404,89.849953,331800
2017-05-19,93.928596,93.928596,91.464302,91.642899,87.763664,179200
2017-05-22,92.142899,92.142899,91.785698,91.785698,87.900414,84000
2017-05-23,92.142899,92.500000,92.142899,92.142899,88.242500,207200
2017-05-24,92.178596,92.928596,90.821404,91.571404,87.695190,163800
2017-05-25,91.821404,93.928596,91.785698,93.000000,89.063316,112000
2017-05-26,92.857101,94.214302,92.857101,93.285698,89.336922,84000
2017-05-29,93.285698,93.464302,92.714302,92.964302,89.029129,98000
2017-05-30,93.571404,93.571404,92.928596,92.928596,88.994934,56000
2017-05-31,93.500000,96.321404,93.500000,95.357101,91.320641,273000
2017-06-01,95.714302,95.785698,95.142899,95.250000,91.218071,43400
2017-06-02,95.357101,95.428596,95.035698,95.321404,91.286453,49000
2017-06-05,95.285698,95.571404,95.142899,95.250000,91.218071,40600
2017-06-06,95.214302,95.571404,95.071404,95.285698,91.252258,50400
2017-06-07,95.214302,95.357101,95.000000,95.071404,91.047035,93800
2017-06-08,95.178596,95.535698,95.071404,95.214302,91.183891,51800
2017-06-09,95.178596,95.321404,95.071404,95.142899,91.115509,30800
2017-06-12,94.285698,95.785698,94.285698,95.107101,91.081230,56000
2017-06-13,95.178596,95.357101,95.107101,95.178596,91.149689,32200
2017-06-14,95.357101,95.392899,95.107101,95.107101,91.081230,47600
2017-06-15,95.142899,95.357101,94.964302,95.142899,91.115509,44800
2017-06-16,95.357101,95.571404,94.857101,94.928596,90.910271,39200
2017-06-19,95.285698,96.357101,95.107101,95.178596,91.149689,29400
2017-06-20,95.321404,95.714302,95.107101,95.357101,91.320641,30800
2017-06-21,95.535698,95.571404,95.071404,95.178596,91.149689,18200
2017-06-22,95.035698,95.357101,95.035698,95.107101,91.081230,18200
2017-06-23,95.107101,95.214302,94.857101,94.964302,90.944466,61600
2017-06-27,95.714302,95.714302,94.428596,94.535698,90.534004,88200
2017-06-28,94.642899,94.821404,94.535698,94.535698,90.534004,19600
2017-06-29,96.428596,96.428596,95.214302,95.500000,91.457489,56000
2017-06-30,96.285698,97.500000,95.214302,95.714302,91.662720,25200
2017-07-03,96.964302,96.964302,95.428596,95.571404,91.525871,9800
2017-07-04,95.107101,96.071404,95.107101,95.714302,91.662720,44800
2017-07-05,96.035698,96.035698,95.071404,95.214302,91.183891,23800
2017-07-06,95.964302,95.964302,95.214302,95.357101,91.320641,33600
2017-07-07,95.857101,95.857101,95.000000,95.071404,91.047035,58800
2017-07-10,95.678596,95.678596,95.071404,95.250000,91.218071,15400
2017-07-11,95.142899,95.357101,94.964302,95.071404,91.047035,33600
2017-07-12,95.142899,95.535698,95.071404,95.500000,91.457489,25200
2017-07-13,95.714302,96.964302,95.250000,95.428596,91.389107,28000
2017-07-14,95.178596,95.607101,94.857101,95.142899,91.115509,50400
2017-07-17,95.142899,95.607101,94.964302,94.964302,90.944466,21000
2017-07-18,95.107101,95.357101,95.000000,95.000000,90.978653,14000
2017-07-19,96.642899,96.642899,95.000000,95.000000,90.978653,22400
2017-07-20,95.071404,95.178596,95.000000,95.035698,91.012848,14000
2017-07-21,95.071404,95.357101,95.000000,95.107101,91.081230,14000
2017-07-24,95.142899,96.000000,95.000000,95.750000,91.696907,35000
2017-07-25,96.000000,96.071404,95.535698,95.857101,91.799477,26600
2017-07-26,96.071404,96.071404,95.642899,95.750000,91.696907,12600
2017-07-27,95.750000,95.892899,95.000000,95.142899,91.115509,29400
2017-07-28,95.250000,95.250000,95.142899,95.178596,93.106888,9800
2017-07-31,95.285698,95.571404,95.000000,95.035698,92.967110,23800
2017-08-01,95.107101,95.107101,94.964302,94.964302,92.897263,12600
2017-08-02,95.107101,95.357101,94.964302,95.071404,93.002029,12600
2017-08-03,95.107101,95.285698,94.857101,95.000000,92.932182,32200
2017-08-04,95.107101,95.107101,94.642899,94.785698,92.722549,25200
2017-08-07,94.500000,94.714302,94.392899,94.500000,92.443062,15400
2017-08-08,94.642899,94.714302,94.285698,94.535698,92.477989,33600
2017-08-09,94.285698,94.642899,93.857101,94.000000,91.953957,35000
2017-08-10,94.607101,94.857101,93.785698,93.785698,91.744316,81200
2017-08-11,93.000000,94.214302,92.892899,93.142899,91.115509,35000
2017-08-14,93.571404,94.285698,92.678596,94.285698,92.233429,23800
2017-08-16,93.928596,94.285698,93.750000,93.785698,91.744316,5600
2017-08-17,94.285698,95.357101,94.142899,94.142899,92.093735,33600
2017-08-18,93.964302,94.928596,93.964302,94.214302,92.163589,12600
2017-08-21,93.928596,94.857101,93.571404,93.571404,91.534683,14000
2017-08-22,93.928596,95.357101,93.750000,94.285698,92.233429,23800
2017-08-23,94.285698,94.571404,93.785698,94.071404,92.023796,23800
2017-08-24,94.285698,94.642899,94.178596,94.214302,92.163589,11200
2017-08-28,94.285698,94.928596,93.964302,93.964302,91.919029,14000
2017-08-29,94.285698,94.285698,93.928596,93.928596,91.884102,4200
2017-08-30,94.285698,94.500000,93.571404,94.500000,92.443062,23800
2017-08-31,94.107101,94.285698,93.750000,93.750000,91.709396,21000
2017-09-01,94.357101,94.500000,94.071404,94.214302,92.163589,15400
2017-09-04,94.107101,94.285698,93.785698,93.785698,91.744316,21000
2017-09-05,94.107101,94.250000,93.571404,93.821404,91.779243,23800
2017-09-06,93.928596,94.285698,93.428596,93.535698,91.499756,29400
2017-09-07,94.285698,94.285698,93.750000,93.750000,91.709396,11200
2017-09-08,94.821404,94.928596,93.750000,93.750000,91.709396,15400
2017-09-11,93.750000,93.750000,93.392899,93.571404,91.534683,11200
2017-09-12,94.285698,94.428596,93.607101,93.642899,91.604622,21000
2017-09-13,94.464302,94.571404,93.571404,93.571404,91.534683,14000
2017-09-14,93.750000,93.750000,93.571404,93.571404,91.534683,21000
2017-09-15,93.750000,93.750000,93.035698,93.071404,91.045570,19600
2017-09-18,94.142899,94.250000,93.428596,93.428596,91.394989,18200
2017-09-19,93.750000,93.750000,93.428596,93.571404,91.534683,5600
2017-09-20,94.142899,94.285698,93.785698,94.285698,92.233429,23800
2017-09-21,95.071404,103.392998,95.000000,100.642998,98.452354,197400
2017-09-22,95.357101,107.429001,95.357101,104.820999,102.539413,100800
2017-09-25,109.286003,109.357002,103.929001,105.357002,103.063751,49000
2017-09-26,108.570999,108.713997,105.000000,105.536003,103.238853,56000
2017-09-27,107.820999,107.929001,104.642998,104.642998,102.365288,47600
2017-09-28,106.786003,107.036003,104.750000,105.070999,102.783974,12600
2017-09-29,107.036003,107.036003,105.000000,105.000000,102.714516,11200
2017-10-03,106.070999,106.320999,104.286003,105.679001,103.378746,29400
2017-10-04,105.036003,106.070999,105.036003,105.070999,102.783974,9800
2017-10-05,106.070999,107.107002,105.357002,105.713997,103.412979,18200
2017-10-06,107.179001,107.500000,105.357002,106.357002,104.041985,32200
2017-10-09,106.429001,106.750000,105.070999,105.679001,103.378746,15400
2017-10-10,106.786003,106.963997,105.713997,105.750000,103.448196,25200
2017-10-11,106.786003,106.963997,105.036003,105.036003,102.749733,15400
2017-10-12,106.429001,106.429001,105.357002,105.357002,103.063751,5600
2017-10-13,105.713997,105.892998,103.570999,103.570999,101.316628,21000
2017-10-16,106.713997,112.142998,105.857002,110.929001,108.514465,49000
2017-10-17,112.142998,117.857002,112.142998,117.142998,114.593208,36400
2017-10-18,120.713997,120.786003,115.750000,116.713997,114.173538,23800
2017-10-19,117.820999,118.570999,116.786003,117.786003,115.222214,26600
2017-10-23,119.463997,119.642998,116.500000,118.570999,115.990128,11200
2017-10-24,119.286003,121.070999,118.392998,120.250000,117.632576,14000
2017-10-25,120.713997,122.820999,120.679001,122.070999,119.413940,22400
2017-10-26,121.070999,122.786003,117.963997,122.107002,119.449158,16800
2017-10-27,122.500000,128.570999,122.142998,127.607002,124.829453,51800
2017-10-30,128.570999,145.285995,128.570999,142.714005,139.607620,64400
2017-10-31,123.607002,162.856995,123.607002,152.785995,149.460388,147000
2017-11-01,153.643005,157.285995,149.285995,150.643005,147.364029,33600
2017-11-02,152.070999,152.070999,139.714005,143.464005,140.341293,92400
2017-11-03,149.214005,149.214005,139.356995,139.820999,136.777588,53200
2017-11-06,142.856995,147.143005,142.143005,142.929001,139.817932,29400
2017-11-07,149.285995,149.356995,141.429001,142.500000,139.398285,25200
2017-11-08,146.429001,146.535995,141.070999,141.070999,138.000381,16800
2017-11-09,146.070999,146.070999,140.106995,141.214005,138.140274,37800
2017-11-10,142.856995,143.214005,140.106995,140.785995,137.721588,37800
2017-11-13,140.035995,141.143005,139.285995,140.964005,137.895721,25200
2017-11-14,139.643005,139.820999,136.070999,136.429001,133.459427,15400
2017-11-15,137.714005,138.570999,135.000000,136.143005,133.179657,36400
2017-11-16,140.000000,140.143005,138.606995,139.143005,136.114349,16800
2017-11-17,142.820999,146.035995,139.714005,139.856995,136.812790,56000
2017-11-20,140.820999,143.929001,140.820999,140.820999,137.755814,15400
2017-11-21,145.000000,145.356995,142.856995,142.856995,139.747498,8400
2017-11-22,145.000000,148.500000,144.570999,146.070999,142.891556,18200
2017-11-23,147.856995,148.214005,142.500000,142.679001,139.573380,19600
2017-11-24,146.429001,147.285995,145.714005,146.070999,142.891556,9800
2017-11-27,147.500000,148.570999,146.429001,148.570999,145.337128,40600
2017-11-28,148.570999,151.429001,148.429001,150.214005,146.944382,14000
2017-11-29,151.785995,157.856995,149.500000,155.000000,151.626205,91000
2017-11-30,157.320999,157.856995,157.320999,157.820999,154.385788,49000
2017-12-01,158.570999,158.929001,155.000000,156.106995,152.709091,19600
2017-12-04,158.570999,158.714005,151.606995,157.143005,153.722549,18200
2017-12-05,157.856995,157.856995,151.856995,152.964005,149.634521,9800
2017-12-06,155.000000,155.356995,154.285995,155.000000,151.626205,96600
2017-12-07,153.929001,157.070999,153.929001,157.070999,153.652115,15400
2017-12-08,157.143005,157.143005,153.643005,153.643005,150.298737,11200
2017-12-11,157.143005,157.785995,157.143005,157.143005,153.722549,9800
2017-12-12,156.429001,157.000000,155.714005,156.714005,153.302887,9800
2017-12-13,157.856995,157.856995,153.606995,154.285995,150.927734,11200
2017-12-14,157.143005,157.856995,154.429001,154.429001,151.067627,9800
2017-12-15,154.785995,154.785995,154.785995,154.785995,151.416840,1400
2017-12-18,153.570999,155.893005,153.214005,154.000000,150.647964,19600
2017-12-19,155.356995,155.714005,153.570999,155.356995,151.975418,12600
2017-12-20,156.106995,156.429001,153.570999,154.606995,151.241745,14000
2017-12-21,156.785995,157.856995,155.714005,157.856995,154.421005,11200
2017-12-22,158.929001,160.714005,157.214005,157.214005,153.792007,29400
2017-12-26,158.570999,159.285995,157.250000,157.606995,154.176437,19600
2017-12-27,158.570999,159.285995,155.000000,155.000000,151.626205,8400
2017-12-28,157.856995,158.570999,155.785995,157.143005,153.722549,9800
2017-12-29,157.856995,157.856995,152.856995,155.000000,151.626205,19600
2018-01-01,154.429001,157.464005,154.356995,156.429001,153.024094,25200
2018-01-02,158.570999,158.929001,153.929001,155.714005,152.324661,46200
2018-01-03,155.785995,157.679001,154.000000,154.320999,150.961975,44800
2018-01-04,156.785995,157.320999,152.856995,153.035995,149.704941,33600
2018-01-05,155.179001,155.535995,152.856995,153.570999,150.228302,15400
2018-01-08,154.285995,154.429001,152.143005,152.893005,149.565063,16800
2018-01-09,155.714005,155.714005,154.285995,155.285995,151.905960,9800
2018-01-10,155.356995,155.893005,152.856995,154.285995,150.927734,11200
2018-01-11,153.393005,154.643005,152.856995,152.856995,149.529831,5600
2018-01-12,154.285995,154.535995,154.214005,154.320999,150.961975,5600
2018-01-15,157.143005,157.179001,152.893005,153.356995,150.018951,9800
2018-01-16,152.500000,152.500000,148.570999,151.429001,148.132935,29400
2018-01-17,151.464005,151.500000,151.464005,151.500000,148.202377,2800
2018-01-18,151.429001,151.429001,150.143005,150.143005,146.874908,2800
2018-01-19,150.714005,150.750000,150.000000,150.000000,146.735031,4200
2018-01-22,150.356995,152.143005,150.000000,150.000000,146.735031,9800
2018-01-23,149.643005,151.429001,149.285995,150.750000,147.468704,8400
2018-01-24,151.070999,151.106995,151.070999,151.106995,147.817932,2800
2018-01-25,150.714005,150.714005,149.679001,149.679001,146.421021,8400
2018-01-29,151.429001,151.535995,149.714005,149.714005,146.455261,8400
2018-01-30,150.714005,150.750000,148.929001,149.285995,146.036560,12600
2018-01-31,149.643005,149.679001,149.000000,149.000000,145.756805,4200
2018-02-01,149.285995,149.320999,148.570999,148.929001,145.687332,8400
2018-02-02,148.570999,148.570999,145.035995,145.714005,142.542328,28000
2018-02-05,146.070999,146.106995,144.285995,145.000000,141.843857,14000
2018-02-06,142.856995,145.750000,142.856995,145.714005,142.542328,21000
2018-02-07,143.964005,148.214005,143.964005,147.500000,144.289444,18200
2018-02-08,147.500000,148.214005,147.106995,147.500000,144.289444,8400
2018-02-09,147.856995,150.429001,147.856995,150.429001,147.154694,8400
